日付,都道府県,学校種,学校名,試験名,試験地,住所,時間
2026/01/29,岡山県,大学,愛知工業大学,前期日程M方式,岡山,岡山県岡山市北区伊福町2丁目10-27,10:00~16:00
2026/01/29,福岡県,大学,愛知工業大学,前期日程M方式,福岡,福岡県福岡市博多区博多駅東1丁目16-14,10:00~16:00
2026/01/29,愛媛県,大学,岡山理科大学,一般入試前期A日程,松山,愛媛県松山市大手町1-10-10 ホテルマイステイズ松山,9:30-14:00　開場8:30
2026/01/29,広島県,大学,岡山理科大学,一般入試前期A日程,広島,広島県広島市中区中島町1-5（平和記念公園内）広島国際会議場,9:30-14:00　開場8:30
2026/01/29,広島県,大学,岡山理科大学,一般入試前期A日程,福山,広島県福山市東深津町3-2-13 備後地域地場産業振興センター,9:30-14:00　開場8:30
2026/01/29,香川県,大学,岡山理科大学,一般入試前期A日程,高松,香川県高松市玉藻町9-10 レクザムホール（香川県県民ホール）,9:30-14:00　開場8:30
2026/01/29,山口県,大学,岡山理科大学,一般入試前期A日程,山口,山口県山口市中央2-5-1 山口市民会館,9:30-14:00　開場8:30
2026/01/29,大阪府,大学,岡山理科大学,一般入試前期A日程,大阪,大阪府大阪市北区曽根崎新地2-3-21 AXビル4F・10F(事務所4F) TKPガーデンシティPREMIUM大阪駅前,9:30-14:00　開場8:30
2026/01/29,福岡県,大学,岡山理科大学,一般入試前期A日程,福岡,福岡県福岡市博多区博多駅東1-16-14 リファレンス駅東ビル貸会議室,9:30-14:00　開場8:30
2026/01/29,兵庫県,大学,岡山理科大学,一般入試前期A日程,神戸,兵庫県神戸市中央区雲井通6-1-5 神戸三宮東急REIホテル,9:30-14:00　開場8:30
2026/01/29,兵庫県,大学,岡山理科大学,一般入試前期A日程,姫路,兵庫県姫路市本町127 大手前ダイネンBLD.2 BIZ SPACE HIMEJI,9:30-14:00　開場8:30
2026/01/29,山口県,高等学校,下関国際,推薦,本校,山口県下関市大字伊倉字四方山7番地,
2026/01/29,岡山県,大学,京都芸術大学,一般選抜,岡山,岡山県岡山市北区桑田町2-21,11：30〜17：30
2026/01/29,福岡県,大学,京都芸術大学,一般選抜,福岡,福岡県福岡市博多区千代1-17-1,11：30〜17：30
2026/01/29,京都府,,京都府立城陽支援学校,高等部 職業学科,,京都府城陽市中芦原1-4,
2026/01/29,京都府,,京都府立八幡支援学校,高等部 職業学科,,京都府八幡市内里柿谷16-1,
2026/01/29,福岡県,大学,国際医療福祉大学,一般選抜前期日程B,大川キャンパス,福岡県大川市榎津137-1,9:00-14:10
2026/01/29,福岡県,大学,国際医療福祉大学,一般選抜前期日程B,福岡キャンパス,福岡県福岡市早良区百道浜2丁目4-16,9:00-14:10
2026/01/29,大阪府,大学,四日市看護医療大学,前期Ａ日程,大阪,大阪府大阪市東淀川区東中島1-18-22 新大阪丸ビル別館,10:00-14:00
2026/01/29,愛媛県,大学,神戸学院大学,,松山,愛媛県松山市千舟町4-3-7青野ビル2F・4F・5F,
2026/01/29,岡山県,大学,神戸学院大学,,岡山,岡山県岡山市北区伊福町2-10-27,
2026/01/29,京都府,大学,神戸学院大学,,京都,京都府京都市下京区中堂寺南町134,
2026/01/29,京都府,大学,神戸学院大学,,福知山,京都府福知山市字中ノ170-5,
2026/01/29,広島県,大学,神戸学院大学,,広島,広島県広島市中区橋本町5-11,
2026/01/29,香川県,大学,神戸学院大学,,高松,香川県高松市寿町2-4-20,
2026/01/29,高知県,大学,神戸学院大学,,高知,高知県高知市はりまや町3-7-11,
2026/01/29,鹿児島県,大学,神戸学院大学,,鹿児島,鹿児島県鹿児島市山之口町1-10,
2026/01/29,大阪府,大学,神戸学院大学,,大阪,大阪府大阪市福島区福島6-22-20,
2026/01/29,鳥取県,大学,神戸学院大学,,米子,鳥取県米子市加茂町2-204,
2026/01/29,徳島県,大学,神戸学院大学,,徳島,徳島県徳島市北佐古一番町5-12,
2026/01/29,福岡県,大学,神戸学院大学,,福岡,福岡県福岡市中央区天神2-12-1,
2026/01/29,兵庫県,大学,神戸学院大学,,神戸,兵庫県神戸市西区伊川谷町有瀬518,
2026/01/29,兵庫県,大学,神戸学院大学,,神戸,兵庫県神戸市中央区港島1丁目1-3,
2026/01/29,和歌山県,大学,神戸学院大学,,和歌山,和歌山県和歌山市小松原通り1-1,
2026/01/29,岡山県,大学,神戸女学院大学,前期Ｂ日程,岡山,岡山県岡山市北区本町 6-30,10:30-13:20
2026/01/29,香川県,大学,神戸女学院大学,前期Ｂ日程,高松,香川県高松市寿町 2-4-20 高松センタービル,10:30-13:20
2026/01/29,大阪府,大学,神戸女学院大学,前期Ｂ日程,大阪（なんば）,大阪府大阪市中央区難波5丁目 2-1 難波御堂筋ビルディング,10:30-13:20
2026/01/29,福岡県,大学,神戸女学院大学,前期Ｂ日程,福岡（博多）,福岡県福岡市博多区博多駅中央街 2-1 博多バスターミナル,10:30-13:20
2026/01/29,兵庫県,大学,神戸女学院大学,前期Ｂ日程,西宮キャンパス,兵庫県西宮市門戸岡田町6-1,10:30-13:20
2026/01/29,兵庫県,大学,神戸女学院大学,前期Ｂ日程,姫路,兵庫県姫路市本町127番地大手前ダイネン BLD.II,10:30-13:20
