日付,都道府県,学校種,学校名,試験名,試験地,住所,時間
2026/02/07,岡山県,中学校,蒼明学院,,本校,岡山県笠岡市笠岡874,
2026/02/07,宮崎県,中学校,日南学園,,本校,宮崎県日南市吾田東3丁目5-1,
2026/02/07,広島県,中学校,広島新庄,Ⅲ期,本校,広島県山県郡北広島町新庄848,
2026/02/07,山口県,中学校,梅光学院,,本校,山口県下関市丸山町2丁目9-1,
2026/02/07,滋賀県,中学校,近江兄弟社,,本校,滋賀県近江八幡市市井町177,
2026/02/07,鹿児島県,中学校,鹿児島純心女子,,本校,鹿児島県鹿児島市唐湊4-22-2,
2026/02/07,鹿児島県,中学校,鹿児島育英館,,本校,鹿児島県日置市伊集院町猪鹿倉550,
2026/02/07,鹿児島県,中学校,鹿児島第一,,本校,鹿児島県霧島市国分府中214,
2026/02/07,大阪府,中学校,建国,一般２次,本校,大阪府大阪市住吉区遠里小野2丁目3番13号,
2026/02/07,長崎県,中学校,長崎日本大学,,本校,長崎県諫早市貝津町1555番地,
2026/02/07,福岡県,中学校,折尾愛真,,本校,福岡県北九州市八幡西区堀川町12-10,
2026/02/07,兵庫県,中学校,芦屋国際中等教育学校,,本校,兵庫県芦屋市新浜町1-2,
2026/02/07,長崎県,大学,広島国際大学,一般選抜前期B日程〔特待生選抜〕,長崎会場（出島メッセ長崎）,長崎県長崎市尾上町4-1,
2026/02/07,愛媛県,大学,高知健康科学大学,一般選抜A日程のみ,愛媛会場（ホテルアイスル松山）,愛媛県松山市宮田町391番地8号,
2026/02/07,愛媛県,大学,関西大学,,えひめ共済会館,愛媛県松山市三番町5丁目13-1,
2026/02/07,愛媛県,大学,岡山商科大学,一般前期AB,TKP松山市駅前カンファレンスセンター,愛媛県松山市千舟町4-3-7,
2026/02/07,愛媛県,大学,高松大学,一般選抜前期（奨学生・一般）,松山会場（レンタルオフィスいよてつ大手町駅）,愛媛県松山市大手町1-7-4 伊予鉄大手町ビル3階,
2026/02/07,愛媛県,大学,四国学院大学,一般選抜A日程,愛媛県県民文化会館（別館）,愛媛県松山市道後町2丁目9-14,
2026/02/07,愛媛県,大学,広島国際大学,一般選抜前期B日程〔特待生選抜〕,松山会場（リジェール松山）,愛媛県松山市南堀端町2-3,
2026/02/07,岡山県,大学,関西大学,,岡山進研学院,岡山県岡山市北区伊福町二丁目10番27号,
2026/02/07,岡山県,大学,関西学院大学,全日程（一般/個別/英数/共通併用）,岡山コンベンションセンター,岡山県岡山市北区駅元町14-1,
2026/02/07,岡山県,大学,高松大学,一般選抜前期（奨学生・一般）,岡山会場（岡山シティホテル桑田町 別館）,岡山県岡山市北区桑田町2-21,
2026/02/07,岡山県,大学,四国学院大学,一般選抜A日程,岡山シティホテル桑田町 別館,岡山県岡山市北区桑田町3-30,
2026/02/07,岡山県,大学,岡山商科大学,一般前期AB/中期/後期・総合型・推薦,岡山商科大学,岡山県岡山市北区津島京町2-10-1,
2026/02/07,岡山県,大学,大阪国際大学,公募A/B・一般前期/後期,岡山会場（後楽ホテル）,岡山県岡山市北区平和町5-1,
2026/02/07,岡山県,大学,立命館アジア太平洋大学,スタンダード3/英語重視/共テ+英・国,岡山国際ホテル,岡山市中区門田本町4-1-16,
2026/02/07,岡山県,大学,立命館大学,一般選抜（試験地）,岡山国際ホテル,岡山市中区門田本町4-1-16,
2026/02/07,岡山県,大学,同志社大学,一般選抜入学試験,岡山コンベンションセンター,岡山市北区駅元町14-1,
2026/02/07,岡山県,大学,広島経済大学,推薦(公募)・一般(1/2期),岡山会場（岡山シティホテル桑田町）,岡山市北区桑田町3-30,
2026/02/07,沖縄県,国家試験,琉球大学 千原キャンパス　共通教育棟,医師,,沖縄県中頭郡西原町字千原1,
2026/02/07,沖縄県,大学,千葉科学大学,一般選抜前期,那覇会場（千葉科学大学那覇コミュニケーションセンター（エナジックスポーツワールドサザンヒル））,沖縄県島尻郡南風原町字宮平460-1,
2026/02/07,沖縄県,大学,大阪国際大学,一般前期,沖縄会場（沖縄県市町村自治会館）,沖縄県那覇市旭町116-37,
2026/02/07,沖縄県,大学,東亜大学,公募制A・B／一般選抜前期,那覇会場,沖縄県那覇市旭町116-37,
2026/02/07,沖縄県,大学,広島国際大学,一般選抜前期B日程〔特待生選抜〕,那覇会場（沖縄県青年会館）,沖縄県那覇市久米2-15-23,
2026/02/07,沖縄県,大学,純真学園大学,一般選抜一期,沖縄県青年会館,沖縄県那覇市久米2-15-23,
2026/02/07,沖縄県,大学,関西大学,,北九州予備校沖縄校,沖縄県那覇市字安里102,
2026/02/07,沖縄県,高等学校,沖縄尚学,,,沖縄県那覇市字国場747番地,
2026/02/07,沖縄県,大学,大阪国際大学,一般前期,沖縄会場（パシフィックホテル沖縄）,沖縄県那覇市西3-6-1,
2026/02/07,沖縄県,大学,熊本学園大学,推薦11月・一般前期,那覇尚学院（別館）,沖縄県那覇市泊2-16-3,
2026/02/07,宮崎県,大学,熊本学園大学,一般前期,岡富コミュニティセンター,宮崎県延岡市幸町2-125,
2026/02/07,宮崎県,大学,尚絅大学,学校推薦型・一般選抜第1回,宮崎市会場（宮崎県婦人会館）,宮崎県宮崎市旭1丁目3-10,
2026/02/07,宮崎県,大学,広島国際大学,一般選抜前期B日程〔特待生選抜〕,宮崎会場（エアラインホテル）,宮崎県宮崎市橘通西3-10-19,
2026/02/07,宮崎県,大学,西南学院大学,一般選抜A・F日程、上履き持参,宮崎試験場（北九州予備校宮崎校）,宮崎県宮崎市宮崎駅東1丁目6-9,
2026/02/07,宮崎県,大学,熊本学園大学,一般前期,KITENコンベンションホール,宮崎県宮崎市錦町1-10,
2026/02/07,宮崎県,大学,純真学園大学,一般選抜一期,KITENビル,宮崎県宮崎市錦町1-10,
2026/02/07,宮崎県,大学,崇城大学,一般前期,北九州予備校 宮崎校,宮崎市宮崎駅東口,
2026/02/07,京都府,大学,同志社大学,一般選抜＋共通テスト（個別）,同志社大学 京田辺キャンパス,京田辺市多々羅都谷1-3,
2026/02/07,京都府,大学,同志社大学,一般選抜＋共通テスト（個別）,同志社大学 今出川キャンパス,京都市上京区今出川通烏丸東入,
2026/02/07,京都府,大学,京都医療科学大学,一般選抜（前期）,京都(京都市内)会場（㈱島津製作所 本社）,京都市中京区西ノ京桑原町1,
2026/02/07,京都府,大学,立命館アジア太平洋大学,スタンダード3/英語重視/共テ+英・国/後期,立命館大学（衣笠キャンパス）,京都市北区等持院北町56-1,
2026/02/07,京都府,大学,立命館大学,一般選抜（試験地）,立命館大学（衣笠キャンパス）,京都市北区等持院北町56-1,
2026/02/07,京都府,大学,関西学院大学,全日程（一般/個別/英数/共通併用）,TKPガーデンシティ京都タワーホテル,京都府京都市下京区烏丸通七条下ル東塩小路町721-1 6F・9F,
2026/02/07,京都府,大学,関西大学,,京都リサーチパーク,京都府京都市下京区中堂寺南町134,
2026/02/07,京都府,大学,関西大学,,京都府民総合交流プラザ,京都府京都市南区東九条下殿田町70,
2026/02/07,熊本県,大学,関西大学,,TKP熊本カンファレンスセンター,熊本県熊本市中央区花畑町4-7,
2026/02/07,熊本県,大学,尚絅大学,一般選抜第1回・第2回・第3回等,九品寺キャンパス（本学試験会場）,熊本県熊本市中央区九品寺2-6-78,
2026/02/07,熊本県,大学,純真学園大学,一般選抜一期,熊本城ホール,熊本県熊本市中央区桜町3番40号,
2026/02/07,熊本県,大学,西南学院大学,一般選抜A日程・F日程,熊本試験場（熊本城ホール）,熊本県熊本市中央区桜町3番40号,
