日付,都道府県,学校種,学校名,試験名,試験地,住所,時間
2026/02/05,佐賀県,中学校,早稲田佐賀,,九州,佐賀県唐津市東城内7-1,
2026/02/05,佐賀県,中学校,早稲田佐賀,,首都圏,佐賀県唐津市東城内7-1,
2026/02/05,愛媛県,高等学校,ＦＣ今治  明徳校,,,愛媛県今治市北日吉町1-4-47,
2026/02/05,愛媛県,高等学校,松山聖陵,,,愛媛県松山市久万ノ台1112,
2026/02/05,愛媛県,大学,関西大学,,えひめ共済会館,愛媛県松山市三番町5丁目13-1,
2026/02/05,愛媛県,高等学校,新田,,,愛媛県松山市山西町663,
2026/02/05,愛媛県,高等学校,松山東雲,,,愛媛県松山市大街道3-2-24,
2026/02/05,愛媛県,高等学校,聖カタリナ学園,,,愛媛県松山市藤原町468番地,
2026/02/05,愛媛県,高等学校,松山学院,,,愛媛県松山市北久米町815,
2026/02/05,愛媛県,高等学校,済美,,,愛媛県松山市湊町7-9-1,
2026/02/05,岡山県,高等学校,井原市立高等学校,,特別,岡山県井原市井原町1151,
2026/02/05,岡山県,高等学校,岡山県立井原高等学校,,特別,岡山県井原市井原町1802,
2026/02/05,岡山県,高等学校,岡山県立岡山城東高等学校,,特別,岡山県岡山市中区下110,
2026/02/05,岡山県,高等学校,岡山県立岡山朝日高等学校,,特別,岡山県岡山市中区古京町2ー2ー21,
2026/02/05,岡山県,高等学校,岡山県立東岡山工業高等学校,,特別,岡山県岡山市中区土田290ー1,
2026/02/05,岡山県,高等学校,岡山県立岡山東商業高等学校,,特別,岡山県岡山市中区東山3ー1ー6,
2026/02/05,岡山県,高等学校,岡山県立岡山操山高等学校,,特別,岡山県岡山市中区浜412,
2026/02/05,岡山県,高等学校,岡山県立瀬戸南高等学校,,特別,岡山県岡山市東区瀬戸町沖88,
2026/02/05,岡山県,高等学校,岡山県立瀬戸高等学校,,特別,岡山県岡山市東区瀬戸町光明谷316ー1,
2026/02/05,岡山県,高等学校,岡山県立西大寺高等学校,,特別,岡山県岡山市東区西大寺上2-1-17,
2026/02/05,岡山県,高等学校,岡山県立興陽高等学校,,特別,岡山県岡山市南区藤田1500,
2026/02/05,岡山県,高等学校,岡山県立岡山芳泉高等学校,,特別,岡山県岡山市南区芳泉3丁目1-1,
2026/02/05,岡山県,高等学校,岡山県立烏城高等学校,,特別,岡山県岡山市北区伊島町3ー1ー1,
2026/02/05,岡山県,高等学校,岡山県立岡山工業高等学校,,特別,岡山県岡山市北区伊福町4ー3ー92,
2026/02/05,岡山県,大学,関西大学,,岡山進研学院,岡山県岡山市北区伊福町二丁目10番27号,
2026/02/05,岡山県,大学,関西学院大学,全日程（一般/個別/英数/共通併用）,岡山コンベンションセンター,岡山県岡山市北区駅元町14-1,
2026/02/05,岡山県,高等学校,岡山県立岡山南高等学校,,特別,岡山県岡山市北区奥田2ー4ー7,
2026/02/05,岡山県,大学,京都外国語大学,一般選抜A日程,ピュアリティまきび,岡山県岡山市北区下石井2-6-41,
2026/02/05,岡山県,高等学校,岡山県立岡山御津高等学校,,特別,岡山県岡山市北区御津金川940,
2026/02/05,岡山県,高等学校,岡山県立高松農業高等学校,,特別,岡山県岡山市北区高松原古才336ー2,
2026/02/05,岡山県,大学,甲南大学,一般選抜（前期・中期）,TKPガーデンシティ岡山（NTTクレド岡山ビル4階）,岡山県岡山市北区中山下1-8-45 NTTクレド岡山ビル4階,
2026/02/05,岡山県,高等学校,岡山県立岡山一宮高等学校,,特別,岡山県岡山市北区楢津221,
