日付,都道府県,学校種,学校名,試験名,試験地,住所,時間
2026/01/28,愛媛県,大学,神戸学院大学,,松山,愛媛県松山市千舟町4-3-7青野ビル2F・4F・5F,
2026/01/28,岡山県,大学,神戸学院大学,,岡山,岡山県岡山市北区伊福町2-10-27,
2026/01/28,岡山県,大学,愛知工業大学,,岡山,岡山県岡山市北区伊福町2丁目10-27,
2026/01/28,岡山県,大学,神戸常盤大学,一般選抜前期,岡山,岡山県岡山市北区厚生町3-1-20 岡山シティホテル厚生町,9:30-14:00
2026/01/28,岡山県,大学,神戸女学院大学,前期Ａ日程,岡山,岡山県岡山市北区本町 6-30,10:30-15:40
2026/01/28,岡山県,大学,大阪経済大学,一般選抜　前期A,岡山,岡山県岡山市北区本町6-30,9:40～12:40
2026/01/28,沖縄県,大学,国際医療福祉大学,一般選抜前期日程A,沖縄,沖縄県那覇市泊2-16-3 那覇尚学院別館,9:00-14:10
2026/01/28,京都府,大学,神戸学院大学,,京都,京都府京都市下京区中堂寺南町134,
2026/01/28,京都府,大学,大阪経済大学,一般選抜　前期A,京都,京都府京都市下京区中堂寺南町134,9:40～12:40
2026/01/28,京都府,大学,京都美術工芸大学,,京都,京都府京都市東山区川端通七条上ル,
2026/01/28,京都府,大学,神戸学院大学,,福知山,京都府福知山市字中ノ170-5,
2026/01/28,熊本県,大学,国際医療福祉大学,一般選抜前期日程A,熊本,熊本県熊本市西区春日1丁目14-1 くまもと森都心プラザ,9:00-14:10
2026/01/28,広島県,大学,神戸学院大学,,広島,広島県広島市中区橋本町5-11,
2026/01/28,広島県,大学,関西外国語大学,一般前期,広島,広島県広島市中区八丁堀7-11,
2026/01/28,広島県,大学,大阪経済大学,一般選抜　前期A,広島,広島県広島市中区八丁堀7-11,9:40～12:40
2026/01/28,香川県,大学,神戸女学院大学,前期Ａ日程,高松,香川県高松市寿町 2-4-20 高松センタービル,10:30-15:40
2026/01/28,香川県,大学,大阪経済大学,一般選抜　前期A,高松,香川県高松市寿町2-4-20,9:40～12:40
2026/01/28,香川県,大学,神戸学院大学,,高松,香川高松市寿町2-4-20,
2026/01/28,高知県,大学,神戸学院大学,,高知,高知県高知市はりまや町3-7-11,
2026/01/28,佐賀県,大学,国際医療福祉大学,一般選抜前期日程A,佐賀,佐賀県佐賀市神野東2丁目1-3 サンシティオフィスビル,9:00-14:10
2026/01/28,山口県,大学,国際医療福祉大学,一般選抜前期日程A,山口,山口県山口市小郡令和1-1-1 KDDI維新ホール,9:00-14:10
2026/01/28,鹿児島県,大学,神戸学院大学,,鹿児島,鹿児島県鹿児島市山之口町1-10,
2026/01/28,鹿児島県,大学,国際医療福祉大学,一般選抜前期日程A,鹿児島,鹿児島県鹿児島市中央町4-32 タイセイ2号館,9:00-14:10
2026/01/28,兵庫県,大学,神戸学院大学,,神戸,神戸市西区伊川谷町有瀬518,
2026/01/28,大阪府,大学,神戸学院大学,,大阪,大阪市福島区福島6-22-20,
2026/01/28,大阪府,大学,大阪信愛学院大学,一般選抜前期,本学,大阪府大阪市城東区古市2丁目7番30号,9:50-14:30
2026/01/28,大阪府,大学,神戸常盤大学,一般選抜前期,大阪,大阪府大阪市中央区南船場1-18-11 SRビル長堀,9:30-14:00
2026/01/28,大阪府,大学,神戸女学院大学,前期Ａ日程,大阪（なんば）,大阪府大阪市中央区難波4丁目 2-1 難波御堂筋ビルディング,10:30-15:40
2026/01/28,大阪府,大学,大阪経済大学,一般選抜　前期A,大阪南,大阪府大阪市中央区難波4-2-1難波御堂筋ビルディング,9:40～12:40
2026/01/28,大阪府,大学,大阪経済大学,一般選抜　前期A,大阪（本学）,大阪府大阪市東淀川区大隅2-2-8,9:40～12:40
2026/01/28,大阪府,大学,工学院大学,Ｓ日程,大阪,大阪府大阪市北区中崎西2-4-12 梅田センタービル,10:00-17:30
2026/01/28,大分県,大学,国際医療福祉大学,一般選抜前期日程A,大分,大分県大分市中央町4丁目2-5 ソレイユ,9:00-14:10
2026/01/28,鳥取県,大学,大阪経済大学,一般選抜　前期A,米子,鳥取県米子市加茂町2-180,9:40～12:40
2026/01/28,鳥取県,大学,神戸学院大学,,米子,鳥取県米子市加茂町2-204,
2026/01/28,徳島県,大学,神戸学院大学,,徳島,徳島県徳島市北佐古一番町5-12,
2026/01/28,奈良県,大学,大阪経済大学,一般選抜　前期A,奈良,奈良県奈良市西木辻町93-6,9:40～12:40
2026/01/28,福岡県,大学,国際医療福祉大学,一般選抜前期日程A,大川キャンパス,福岡県大川市榎津137-1,9:00-14:10
2026/01/28,福岡県,大学,国際医療福祉大学,一般選抜前期日程A,福岡キャンパス,福岡県福岡市早良区百道浜2丁目4-16,9:00-14:10
2026/01/28,福岡県,大学,神戸学院大学,,福岡,福岡県福岡市中央区天神2-12-1,
2026/01/28,福岡県,大学,神戸常盤大学,一般選抜前期,福岡,福岡県福岡市博多区博多駅前2-20-1 大博多ビル,9:30-14:00
2026/01/28,福岡県,大学,神戸女学院大学,前期Ａ日程,福岡（博多）,福岡県福岡市博多区博多駅中央街 2-1 博多バスターミナル,10:30-15:40
2026/01/28,福岡県,大学,京都美術工芸大学,,福岡,福岡県福岡市博多区博多駅中央街2-1,
2026/01/28,福岡県,大学,大阪経済大学,一般選抜　前期A,福岡,福岡県福岡市博多区博多駅東1-16-14,9:40～12:40
2026/01/28,福岡県,大学,愛知工業大学,,福岡,福岡県福岡市博多区博多駅東1丁目16-14,
2026/01/28,福岡県,大学,関西外国語大学,一般前期,福岡,福岡県福岡市博多区博多駅南1丁目8-31,
2026/01/28,兵庫県,大学,神戸学院大学,,神戸,兵庫県神戸市中央区港島1丁目1-3,
2026/01/28,兵庫県,大学,大阪経済大学,一般選抜　前期A,神戸,兵庫県神戸市中央区中山手通4-10-8,9:40～12:40
2026/01/28,兵庫県,大学,神戸常盤大学,一般選抜前期,神戸（本学）,兵庫県神戸市長田区大谷町2丁目6番2号,9:30-14:00
2026/01/28,兵庫県,大学,神戸女学院大学,前期Ａ日程,西宮キャンパス,兵庫県西宮市門戸岡田町6-1,10:30-15:40
2026/01/28,兵庫県,大学,大阪経済大学,一般選抜　前期A,姫路,兵庫県姫路市南駅前町123,9:40～12:40
2026/01/28,兵庫県,大学,神戸女学院大学,前期Ａ日程,姫路,兵庫県姫路市本町127番地大手前ダイネン BLD.II,10:30-15:40
2026/01/28,和歌山県,大学,神戸学院大学,,和歌山,和歌山県和歌山市小松原通り1-1,
2026/01/28,和歌山県,大学,大阪経済大学,一般選抜　前期A,和歌山,和歌山県和歌山市本町2-1,9:40～12:40
2026/01/28,京都府,中学校,京都光華,,本校,京都府京都市右京区西京極野田町39,
2026/01/28,京都府,中学校,京都文教,,本校,京都府京都市左京区岡崎円勝寺町5,
2026/01/28,愛媛県,大学,同志社女子大学,前期,松山,松山市三番町5-13-1,
2026/01/28,岡山県,大学,同志社女子大学,前期,岡山,岡山市北区伊福町2-10-27,
2026/01/28,岡山県,大学,奈良大学,前期,岡山,岡山市北区本町6-30,
2026/01/28,広島県,大学,奈良大学,前期,広島,広島市中区橋本町5-11,
2026/01/28,広島県,大学,同志社女子大学,前期,広島,広島市南区金屋町1-17 ,
2026/01/28,香川県,大学,奈良大学,前期,香川,高松市サンポート2-1,
2026/01/28,香川県,大学,同志社女子大学,前期,高松,高松市寿町2-4-20,
2026/01/28,大阪府,大学,同志社女子大学,前期,大阪,大阪市中央区本町橋2-8,
2026/01/28,大阪府,大学,奈良大学,前期,大阪,大阪市福島区福島 6-22-20,
2026/01/28,大阪府,大学,同志社女子大学,前期,大阪,大阪市福島区福島6-22-20,
2026/01/28,福岡県,大学,同志社女子大学,前期,福岡,福岡市中央区天神1-4-2,
2026/01/28,福岡県,大学,奈良大学,前期,福岡,福岡市博多区博多駅前2-1-1,
2026/01/28,鳥取県,高等学校,米子松蔭,,本校,鳥取県米子市二本木316-1,
2026/01/28,山口県,高等学校,下関短大付属,推薦,本校,山口県下関市桜山町1-1,
2026/01/28,山口県,高等学校,早鞆,推薦,本校,山口県下関市上田中町8丁目3-1,
2026/01/28,熊本県,高等学校,専修大学熊本玉名,推薦,本校,熊本県玉名市岱明町野口1046,
2026/01/28,宮崎県,高等学校,櫻美学園,推薦,本校,宮崎県北諸県郡三股町大字樺山1996,
2026/01/28,宮崎県,高等学校,小林西,推薦,本校,宮崎県小林市大字細野588番地48,
2026/01/28,宮崎県,高等学校,聖心ウルスラ学園,推薦,本校,宮崎県延岡市緑ヶ丘3-7-21,
2026/01/28,宮崎県,高等学校,日南学園,推薦,本校,宮崎県日南市吾田東三丁目5番1号,
2026/01/28,宮崎県,高等学校,延岡学園,推薦,本校,宮崎県延岡市大峡町7820番地,
2026/01/28,宮崎県,高等学校,鵬翔,推薦,本校,宮崎県宮崎市大字恒久4336,
2026/01/28,宮崎県,高等学校,都城,推薦,本校,宮崎県都城市蓑原町7916,
2026/01/28,宮崎県,高等学校,都城聖ドミニコ学園,推薦,本校,宮崎県都城市下長飯町881,
2026/01/28,宮崎県,高等学校,宮崎学園,推薦,本校,宮崎県宮崎市昭和町3,
2026/01/28,宮崎県,高等学校,宮崎第一,推薦,本校,宮崎県宮崎市大字郡司分甲767,
2026/01/28,宮崎県,高等学校,宮崎日本大学,推薦,本校,宮崎県宮崎市大字島之内6822-2,
2026/01/28,兵庫県,大学,同志社女子大学,前期,神戸,神戸市東灘区向洋町中6-9,
2026/01/28,和歌山県,大学,同志社女子大学,前期,和歌山,和歌山市吹上2-1-22,
