日付,都道府県,学校種,学校名,試験名,試験地,住所,時間
2026/02/04,大阪府,中学校,堺リベラル,２月,本校,大阪府堺市堺区浅香山町1-2-20,
2026/02/04,大阪府,中学校,金蘭会,D日程,本校,大阪府大阪市北区大淀南3-3-7,
2026/02/04,愛媛県,高等学校,今治精華,,,愛媛県今治市中日吉町2-1-34,
2026/02/04,愛媛県,高等学校,ＦＣ今治  明徳校,,,愛媛県今治市北日吉町1-4-47,
2026/02/04,愛媛県,高等学校,松山聖陵,,,愛媛県松山市久万ノ台1112,
2026/02/04,愛媛県,大学,関西大学,,えひめ共済会館,愛媛県松山市三番町5丁目13-1,
2026/02/04,愛媛県,高等学校,新田,,,愛媛県松山市山西町663,
2026/02/04,愛媛県,大学,ノートルダム清心女子大学,一般選抜3教科/2教科,松山会場（TKP松山市駅前カンファレンスセンター）,愛媛県松山市千舟町4丁目3-7 青野ビル 2階,
2026/02/04,愛媛県,高等学校,松山東雲,,,愛媛県松山市大街道3-2-24,
2026/02/04,愛媛県,高等学校,聖カタリナ学園,,,愛媛県松山市藤原町468番地,
2026/02/04,愛媛県,大学,広島都市学園大学,一般選抜前期C,愛媛県県民文化会館,愛媛県松山市道後町2-5-1,
2026/02/04,愛媛県,大学,阪南大学,一般前期,リジェール松山,愛媛県松山市南堀端町2-3 JA愛媛,
2026/02/04,愛媛県,高等学校,松山学院,,,愛媛県松山市北久米町815,
2026/02/04,愛媛県,高等学校,済美,,,愛媛県松山市湊町7-9-1,
2026/02/04,愛媛県,高等学校,帝京第五,,,愛媛県大洲市新谷甲233,
2026/02/04,岡山県,高等学校,井原市立高等学校,,特別,岡山県井原市井原町1151,
2026/02/04,岡山県,高等学校,岡山県立井原高等学校,,特別,岡山県井原市井原町1802,
2026/02/04,岡山県,高等学校,岡山県立岡山城東高等学校,,特別,岡山県岡山市中区下110,
2026/02/04,岡山県,高等学校,岡山県立岡山朝日高等学校,,特別,岡山県岡山市中区古京町2ー2ー21,
2026/02/04,岡山県,高等学校,岡山県立東岡山工業高等学校,,特別,岡山県岡山市中区土田290ー1,
2026/02/04,岡山県,高等学校,岡山県立岡山東商業高等学校,,特別,岡山県岡山市中区東山3ー1ー6,
2026/02/04,岡山県,高等学校,岡山県立岡山操山高等学校,,特別,岡山県岡山市中区浜412,
2026/02/04,岡山県,高等学校,岡山県立瀬戸南高等学校,,特別,岡山県岡山市東区瀬戸町沖88,
2026/02/04,岡山県,大学,環太平洋大学,全入試・全日程（CBT除く）,IPU・環太平洋大学 第1キャンパス,岡山県岡山市東区瀬戸町観音寺721,
2026/02/04,岡山県,高等学校,岡山県立西大寺高等学校,,特別,岡山県岡山市東区西大寺上2-1-17,
2026/02/04,岡山県,高等学校,岡山県立興陽高等学校,,特別,岡山県岡山市南区藤田1500,
2026/02/04,岡山県,高等学校,岡山県立岡山芳泉高等学校,,特別,岡山県岡山市南区芳泉3丁目1-1,
2026/02/04,岡山県,高等学校,岡山県立烏城高等学校,,特別,岡山県岡山市北区伊島町3ー1ー1,
