日付,都道府県,学校種,学校名,試験名,試験地,住所,時間
2026/02/06,長崎県,大学,広島国際大学,一般選抜前期B日程〔特待生選抜〕,長崎会場（出島メッセ長崎）,長崎県長崎市尾上町4-1,
2026/02/06,愛媛県,大学,関西大学,,えひめ共済会館,愛媛県松山市三番町5丁目13-1,
2026/02/06,愛媛県,大学,人間環境大学,特別奨学生・一般入試I〜IV期,松山道後キャンパス,愛媛県松山市道後樋又9-12,
2026/02/06,愛媛県,大学,広島国際大学,一般選抜前期B日程〔特待生選抜〕,松山会場（リジェール松山）,愛媛県松山市南堀端町2-3,
2026/02/06,愛媛県,大学,日本文理大学,推薦2期ほか・前期/共テ1期,松山市総合コミュニティセンター,愛媛県松山市湊町7丁目5番地,
2026/02/06,岡山県,大学,関西大学,,岡山進研学院,岡山県岡山市北区伊福町二丁目10番27号,
2026/02/06,岡山県,大学,中京大学,一般前期A/M／総合型・推薦,岡山コンベンションセンター,岡山県岡山市北区駅元町14-1,
2026/02/06,岡山県,大学,関西学院大学,全日程（一般/個別/英数/共通併用）,岡山コンベンションセンター,岡山県岡山市北区駅元町14-1,
2026/02/06,岡山県,大学,大阪国際大学,公募A/B・一般前期/後期,岡山会場（後楽ホテル）,岡山県岡山市北区平和町5-1,
2026/02/06,岡山県,大学,追手門学院大学,公募推薦・一般 前期日程,ピギー貸会議室（安田岡山磨屋町ビル3階）,岡山県岡山市北区磨屋町2-5 安田岡山磨屋町ビル3階,
2026/02/06,岡山県,大学,追手門学院大学,公募推薦・一般前期,ピギー貸会議室,岡山県岡山市北区磨屋町2-5 安田岡山磨屋町ビル3階,
2026/02/06,岡山県,大学,同志社大学,一般選抜入学試験,岡山コンベンションセンター,岡山市北区駅元町14-1,
2026/02/06,岡山県,大学,広島経済大学,推薦(公募)・一般(1/2期),岡山会場（岡山シティホテル桑田町）,岡山市北区桑田町3-30,
2026/02/06,沖縄県,大学,日本経済大学,特待生・一般1期のみ,那覇会場,沖縄県那覇市おもろまち1-1-2,
2026/02/06,沖縄県,大学,大阪国際大学,一般前期,沖縄会場（沖縄県市町村自治会館）,沖縄県那覇市旭町116-37,
2026/02/06,沖縄県,大学,日本文理大学,推薦2期ほか・前期/共テ1期・後期/共テ2期,沖縄県市町村自治会館,沖縄県那覇市旭町116-37,
2026/02/06,沖縄県,大学,広島国際大学,一般選抜前期B日程〔特待生選抜〕,那覇会場（沖縄県青年会館）,沖縄県那覇市久米2-15-23,
2026/02/06,沖縄県,大学,関西大学,,北九州予備校沖縄校,沖縄県那覇市字安里102,
2026/02/06,沖縄県,大学,鎮西学院大学,一般A,沖縄会場,沖縄県那覇市西3-11-1,
2026/02/06,沖縄県,大学,大阪国際大学,一般前期,沖縄会場（パシフィックホテル沖縄）,沖縄県那覇市西3-6-1,
2026/02/06,沖縄県,大学,中京大学,一般前期A,那覇尚学院,沖縄県那覇市泊2丁目16番地の3,
2026/02/06,宮崎県,大学,福岡大学,一般選抜（系統別・前期）,宮崎会場（宮崎県婦人会館）,宮崎県宮崎市旭1-3-10 宮崎県婦人会館,
2026/02/06,宮崎県,大学,日本文理大学,推薦2期ほか・前期/共テ1期・後期/共テ2期,宮崎市民プラザ,宮崎県宮崎市橘通西1丁目1番2号,
2026/02/06,宮崎県,大学,広島国際大学,一般選抜前期B日程〔特待生選抜〕,宮崎会場（エアラインホテル）,宮崎県宮崎市橘通西3-10-19,
2026/02/06,宮崎県,大学,西南学院大学,一般選抜A・F日程、上履き持参,宮崎試験場（北九州予備校宮崎校）,宮崎県宮崎市宮崎駅東1丁目6-9,
2026/02/06,宮崎県,大学,鹿児島国際大学,一般選抜（前期）,アートホテル宮崎スカイタワー,宮崎県宮崎市高千穂通2-1-26,
2026/02/06,京都府,大学,同志社大学,一般選抜＋共通テスト（個別）,同志社大学 京田辺キャンパス,京田辺市多々羅都谷1-3,
2026/02/06,京都府,大学,同志社大学,一般選抜＋共通テスト（個別）,同志社大学 今出川キャンパス,京都市上京区今出川通烏丸東入,
2026/02/06,京都府,大学,関西学院大学,全日程（一般/個別/英数/共通併用）,TKPガーデンシティ京都タワーホテル,京都府京都市下京区烏丸通七条下ル東塩小路町721-1 6F・9F,
2026/02/06,京都府,大学,関西大学,,京都リサーチパーク,京都府京都市下京区中堂寺南町134,
2026/02/06,京都府,大学,追手門学院大学,一般 前期日程,TKP京都四条カンファレンスセンター,京都府京都市下京区立売中之町99 四条SETビル6階,
2026/02/06,京都府,大学,追手門学院大学,一般前期のみ,TKP京都四条カンファレンスセンター,京都府京都市下京区立売中之町99 四条SETビル6階,
2026/02/06,京都府,大学,関西大学,,京都府民総合交流プラザ,京都府京都市南区東九条下殿田町70,
2026/02/06,京都府,大学,大谷大学,一般入試第1期・第2期,本学試験場（大谷大学 本部キャンパス）,京都府京都市北区小山上総町,
2026/02/06,京都府,大学,長浜バイオ大学,一般 前期A・B,京都キャンパス（烏丸学舎）,京都府京都市北区上御霊上江町250,
2026/02/06,熊本県,大学,福岡大学,一般選抜（系統別・前期）,熊本会場（北九州予備校熊本校）,熊本県熊本市西区春日2-3-26 北九州予備校熊本校,
2026/02/06,熊本県,大学,関西大学,,TKP熊本カンファレンスセンター,熊本県熊本市中央区花畑町4-7,
2026/02/06,熊本県,大学,日本文理大学,前期/共テ1期,熊本県教育会館,熊本県熊本市中央区九品寺1丁目11番4号,
2026/02/06,熊本県,大学,西南学院大学,一般選抜A日程・F日程,熊本試験場（熊本城ホール）,熊本県熊本市中央区桜町3番40号,
2026/02/06,熊本県,大学,鹿児島国際大学,一般選抜（前期）,壺溪塾（坪井本校）,熊本県熊本市中央区内坪井町5-10,
2026/02/06,広島県,大学,関西大学,,TKPガーデンシティPREMIUM広島駅,広島県 広島市南区大須賀町13-9 ベルビュオフィス広島,
2026/02/06,広島県,大学,広島国際大学,一般選抜前期B日程〔特待生選抜〕,本学（呉キャンパス）,広島県呉市広古新開5-1-1,
2026/02/06,広島県,大学,広島国際大学,一般選抜前期B日程〔特待生選抜〕,広島会場（サムシングホールドルフィン）,広島県広島市西区草津新町2-30-29,
2026/02/06,広島県,大学,東京理科大学,一般選抜B・S方式,広島試験場（広島工業大学専門学校）,広島県広島市西区福島町2-1-1,
2026/02/06,広島県,大学,福岡大学,一般選抜（系統別・前期）,広島会場（広島工業大学専門学校）,広島県広島市西区福島町2-1-1 広島工業大学専門学校,
2026/02/06,広島県,大学,関西学院大学,全日程（一般/個別/英数/共通併用）,広島県立総合体育館 武道場,広島県広島市中区基町4-1,
2026/02/06,広島県,大学,中京大学,一般前期A/M／総合型・推薦,RCC文化センター,広島県広島市中区橋本町5-11,
2026/02/06,広島県,大学,工学院大学,A日程サテライト(2/5-6),RCC文化センター,広島県広島市中区橋本町5-11,
2026/02/06,広島県,大学,日本文理大学,前期/共テ1期,RCC文化センター,広島県広島市中区橋本町5-11,
2026/02/06,広島県,大学,追手門学院大学,公募推薦・一般 前期日程,リファレンス広島小町ビル貸会議室,広島県広島市中区小町3-19 リファレンス広島小町ビル,
2026/02/06,広島県,大学,追手門学院大学,公募推薦・一般前期,リファレンス広島小町ビル貸会議室,広島県広島市中区小町3-19 リファレンス広島小町ビル,
2026/02/06,広島県,大学,西南学院大学,一般選抜A日程・F日程,広島試験場（TKPガーデンシティ広島）,広島県広島市中区中町8-18 広島クリスタルプラザ,
2026/02/06,広島県,大学,比治山大学,一般選抜A・B・C日程,本学（比治山大学）,広島県広島市東区牛田新町4丁目1-1,
2026/02/06,広島県,大学,広島都市学園大学,一般前期A/B/C・D、後期、総合・推薦,宇品キャンパス,広島県広島市南区宇品西5丁目13-18,
2026/02/06,広島県,大学,広島国際大学,一般選抜前期B日程〔特待生選抜〕,三次会場（三次商工会議所）,広島県三次市三次町1843-1,
2026/02/06,広島県,大学,広島国際大学,一般選抜前期B日程〔特待生選抜〕,福山会場（ 福山商工会議所）,広島県福山市西町2-10-1,
2026/02/06,広島県,大学,広島経済大学,総合型・学校推薦型・一般(1/2期),広島会場（広島経済大学）,広島市安佐南区祇園5-37-1,
2026/02/06,広島県,大学,同志社大学,一般選抜入学試験,広島県立総合体育館,広島市中区基町4-1,
2026/02/06,香川県,大学,関西学院大学,全日程（一般/個別/英数/共通併用）,村上学園高等学校 高松校,香川県高松市観光町545-3,
2026/02/06,香川県,大学,関西大学,,高松高等予備校,香川県高松市観光町547-1,
2026/02/06,香川県,大学,中京大学,一般前期A/M／総合型・推薦,高松センタービル,香川県高松市寿町2-4-20,
2026/02/06,香川県,大学,広島国際大学,一般選抜前期B日程〔特待生選抜〕,高松会場（高松商工会議所）,香川県高松市番町2-2-2,
2026/02/06,香川県,大学,追手門学院大学,公募推薦・一般 前期日程,高松商工会議所,香川県高松市番町二丁目2番2号,
2026/02/06,香川県,大学,追手門学院大学,公募推薦・一般前期,高松商工会議所,香川県高松市番町二丁目2番2号,
2026/02/06,香川県,大学,広島経済大学,一般(1期),高松会場（サンポートホール高松）,高松市サンポート2-1,
2026/02/06,香川県,大学,同志社大学,一般選抜入学試験,レクザムホール（香川県県民ホール）,高松市玉藻町9-10,
2026/02/06,高知県,大学,広島国際大学,一般選抜前期B日程〔特待生選抜〕,高知会場（土佐塾予備校）,高知県高知市はりまや町3-7-8,
2026/02/06,高知県,大学,関西大学,,高知共済会館,高知県高知市本町5丁目3-20,
2026/02/06,広島県,大学,広島経済大学,一般(1期),三次会場（みよしまちづくりセンター）,三次市十日市西6-10-45,
2026/02/06,山口県,大学,広島国際大学,一般選抜前期B日程〔特待生選抜〕,岩国会場（岩国市民文化会館）,山口県岩国市山手町1-15-3,
2026/02/06,山口県,大学,西南学院大学,一般選抜A・F日程、上履き持参,山口試験場（北九州予備校山口校）,山口県山口市小郡御幸町1-39,
2026/02/06,山口県,大学,福岡大学,一般選抜（系統別・前期）,山口会場（北九州予備校山口校）,山口県山口市小郡御幸町1-39 北九州予備校山口校,
2026/02/06,山口県,大学,関西大学,,山口県教育会館,山口県山口市大手町2-18,
2026/02/06,山口県,大学,広島国際大学,一般選抜前期B日程〔特待生選抜〕,山口会場（国際ホテル山口）,山口県山口市中河原町1-1,
2026/02/06,山口県,大学,広島経済大学,推薦(公募)・一般(1/2期),山口会場（山口グランドホテル）,山口市小郡黄金町1-1,
2026/02/06,滋賀県,大学,追手門学院大学,公募推薦・一般 前期日程,草津商工会議所（キラリエ草津）,滋賀県草津市大路2-1-35 キラリエ草津（市民総合交流センター）,
2026/02/06,滋賀県,大学,追手門学院大学,公募推薦・一般前期,草津商工会議所,滋賀県草津市大路2-1-35 キラリエ草津（市民総合交流センター）,
2026/02/06,滋賀県,大学,関西大学,,滋賀県民交流センター,滋賀県大津市におの浜1丁目1-20,
2026/02/06,滋賀県,大学,長浜バイオ大学,総合型/学校推薦/一般/社会人等,本学キャンパス,滋賀県長浜市田村町1266,
2026/02/06,鹿児島県,大学,鹿児島国際大学,一般選抜（前期）,奄美市社会福祉協議会（本所）,鹿児島県奄美市名瀬長浜町5-6,
2026/02/06,鹿児島県,大学,鹿児島国際大学,一般選抜（前期）,鹿屋商工会議所,鹿児島県鹿屋市新川町600,
2026/02/06,鹿児島県,大学,関西大学,,鹿児島県老人福祉会館,鹿児島県鹿児島市鴨池2丁目30-8,
2026/02/06,鹿児島県,大学,鹿児島国際大学,一般選抜（前期）,鹿児島国際大学試験場（坂之上キャンパス）,鹿児島県鹿児島市坂之上8-34-1,
2026/02/06,鹿児島県,大学,福岡大学,一般選抜（系統別・前期）,鹿児島会場（北九州予備校鹿児島校）,鹿児島県鹿児島市西田1-7-3 北九州予備校鹿児島校,
2026/02/06,鹿児島県,大学,西南学院大学,一般選抜A日程・F日程,鹿児島試験場（TKPガーデンシティ鹿児島中央）,鹿児島県鹿児島市中央町26-1 南国アネックス,
2026/02/06,鹿児島県,大学,日本文理大学,推薦2期ほか・前期/共テ1期,鹿児島商工会議所（アイムビル）4階会議室,鹿児島県鹿児島市東千石町1-38,
2026/02/06,鹿児島県,大学,広島国際大学,一般選抜前期B日程〔特待生選抜〕,鹿児島会場（JR九州ホテル鹿児島）,鹿児島県鹿児島市武1-1-2,
2026/02/06,島根県,大学,広島経済大学,推薦(公募)・一般(1/2期),松江会場（松江テルサ）,松江市朝日町478-18,
2026/02/06,愛媛県,大学,広島経済大学,推薦(公募)・一般(1/2期),松山会場（リジェール松山）,松山市南堀端町2-3,
2026/02/06,愛媛県,大学,広島経済大学,一般(1期),新居浜会場（新居浜商工会議所）,新居浜市一宮町2-4-8,
2026/02/06,兵庫県,大学,同志社大学,一般選抜入学試験,神戸国際展示場,神戸市中央区港島中町6-11-1,
2026/02/06,大阪府,大学,大阪総合保育大学,一般前期/後期、総合型(AO)面接,大阪総合保育大学A学舎,大阪市東住吉区湯里6-4-26,
2026/02/06,大阪府,大学,長浜バイオ大学,学校推薦/一般 前期A・B,大阪会場,大阪市東淀川区東中島1-18-27,
2026/02/06,大阪府,大学,追手門学院大学,本学。一般 前期・後期・最終,茨木総持寺キャンパス（本学試験場）,大阪府茨木市太田東芝町1-1,
2026/02/06,大阪府,大学,追手門学院大学,本学会場。全日程,追手門学院大学 茨木総持寺キャンパス,大阪府茨木市太田東芝町1-1,
2026/02/06,大阪府,大学,太成学院大学,一般選抜A/B/C・留学生選抜,本学キャンパス,大阪府堺市美原区平尾1060-1,
2026/02/06,大阪府,大学,大阪国際大学,公募A/B/C・一般前期/後期・ラスト,本学会場（守口キャンパス）,大阪府守口市藤田町6-21-57,
2026/02/06,大阪府,大学,関西大学,一般選抜（全学1・独自・全学2）,関西大学 千里山キャンパス,大阪府吹田市山手町3-3-35,
2026/02/06,大阪府,大学,関西学院大学,大阪南の一部日程（個別/英数等）,TKP心斎橋駅前カンファレンスセンター,大阪府大阪市中央区南船場3-11-18 郵政福祉心斎橋ビル3F・11F,
2026/02/06,大阪府,大学,追手門学院大学,一般 前期日程,TKPガーデンシティPREMIUM心斎橋,大阪府大阪市中央区南船場4丁目3-2 ゼント心斎橋ビル3階・4階,
2026/02/06,大阪府,大学,追手門学院大学,一般前期のみ,TKPガーデンシティPREMIUM心斎橋,大阪府大阪市中央区南船場4丁目3-2 ゼント心斎橋ビル3階・4階,
2026/02/06,大阪府,大学,関西学院大学,全日程（大阪南・一般/個別等）,難波御堂筋ホール,大阪府大阪市中央区難波4-2-1,
2026/02/06,大阪府,大学,関西学院大学,全日程（大阪北・一般/個別等）,TKPガーデンシティ大阪リバーサイドホテル,大阪府大阪市都島区中野町5-12-30,
2026/02/06,大阪府,大学,日本文理大学,前期/共テ1期・後期/共テ2期,大阪コロナホテル,大阪府大阪市東淀川区西淡路1丁目3番21号,
2026/02/06,大阪府,大学,大阪成蹊大学,総合型・公募推薦・一般選抜,本学会場（相川キャンパス）,大阪府大阪市東淀川区相川3-10-62,
2026/02/06,大阪府,大学,中京大学,一般前期A/M・後期F／総合型・推薦,新大阪丸ビル別館,大阪府大阪市東淀川区東中島1-18-22,
2026/02/06,大阪府,大学,日本獣医生命科学大学,一般選抜B/C日程,天満研修センター,大阪府大阪市北区錦町2-21,
2026/02/06,大阪府,大学,広島国際大学,一般選抜前期B日程〔特待生選抜〕,大阪会場（大阪工業大学梅田キャンパス）,大阪府大阪市北区茶屋町1-45,
2026/02/06,大阪府,大学,東京理科大学,一般選抜B・S方式,大阪試験場（河合塾大阪北キャンパス 大阪校）,大阪府大阪市北区豊崎3-13-1,
2026/02/06,大阪府,大学,岩手医科大学,歯学部一般選抜前期,大阪会場（⼤阪ガーデンパレス）,大阪府大阪市淀川区西宮原1-3-35,
2026/02/06,大阪府,大学,追手門学院大学,一般 前期日程,I-siteなんば,大阪府大阪市浪速区敷津東2丁目1-41 南海なんば第1ビル2階・3階,
2026/02/06,大阪府,大学,追手門学院大学,一般前期のみ,I-siteなんば,大阪府大阪市浪速区敷津東2丁目1-41 南海なんば第1ビル2階・3階,
2026/02/06,大阪府,大学,追手門学院大学,公募推薦・一般 前期日程,ビィーゴ（枚方ビオルネ）,大阪府枚方市岡本町7番1号 枚方ビオルネ5F・4F,
2026/02/06,大阪府,大学,追手門学院大学,公募推薦・一般前期,ビィーゴ,大阪府枚方市岡本町7番1号 枚方ビオルネ5F・4F,
2026/02/06,大阪府,大学,関西医科大学,医学部2次/後期/共テ2次・リハ一般,関西医科大学 枚方キャンパス（リハビリテーション学部棟）,大阪府枚方市新町2-5-1,
2026/02/06,大分県,大学,日本文理大学,推薦2期ほか・前期/共テ1期・社会人2期・後期/共テ2期,日本文理大学,大分県大分市一木1727,
2026/02/06,大分県,高等学校,福徳学院,,,大分県大分市永興1丁目16番20号,
2026/02/06,大分県,大学,福岡大学,一般選抜（系統別・前期）,大分会場（北九州予備校大分校）,大分県大分市金池町2-7-17 北九州予備校大分校,
2026/02/06,大分県,大学,広島国際大学,一般選抜前期B日程〔特待生選抜〕,大分会場（ソレイユ大分県労働福祉会館）,大分県大分市中央町4-2-5,
2026/02/06,大分県,大学,西南学院大学,一般選抜A日程・F日程,大分試験場（大分県労働福祉会館 全労済ソレイユ）,大分県大分市中央町4-2-5,
2026/02/06,長崎県,大学,鎮西学院大学,一般A,五島会場,長崎県五島市池田町1番2号,
2026/02/06,長崎県,大学,日本文理大学,推薦2期ほか・前期/共テ1期,長崎県建設総合会館,長崎県長崎市魚の町3-33,
2026/02/06,長崎県,大学,福岡大学,一般選抜（系統別・前期）,長崎会場（北九州予備校長崎校）,長崎県長崎市川口町4-5 北九州予備校長崎校,
2026/02/06,長崎県,高等学校,純心女子,,,長崎県長崎市文教町13-15,
2026/02/06,長崎県,大学,西南学院大学,一般選抜A日程・F日程,長崎試験場（長崎新聞文化ホール アストピア）,長崎県長崎市茂里町3-1,
2026/02/06,長崎県,高等学校,創成館,,,長崎県諫早市貝津町621番地,
2026/02/06,長崎県,大学,鎮西学院大学,総合型・推薦・一般A〜C,本学キャンパス,長崎県諫早市西栄田町1212番地1,
2026/02/06,鳥取県,大学,関西大学,,国際ファミリープラザ,鳥取県米子市加茂町2丁目180,
2026/02/06,島根県,大学,広島国際大学,一般選抜前期B日程〔特待生選抜〕,松江会場（松江テルサ）,島根県松江市朝日町478-18,
2026/02/06,徳島県,大学,関西大学,,徳島県医師会館,徳島県徳島市幸町3丁目61,
2026/02/06,奈良県,大学,追手門学院大学,公募推薦・一般 前期日程,奈良県コンベンションセンター,奈良県奈良市三条大路一丁目691-1,
2026/02/06,奈良県,大学,追手門学院大学,公募推薦・一般前期,奈良県コンベンションセンター,奈良県奈良市三条大路一丁目691-1,
2026/02/06,奈良県,大学,追手門学院大学,一般 前期日程,ホテルリガーレ春日野,奈良県奈良市法蓮町757-2,
2026/02/06,奈良県,大学,追手門学院大学,一般前期のみ,ホテルリガーレ春日野,奈良県奈良市法蓮町757-2,
2026/02/06,島根県,大学,広島経済大学,一般(1期),浜田会場（いわみーる）,浜田市野原町1826-1,
2026/02/06,福岡県,大学,日本経済大学,一般入試1期・2期,福岡キャンパス,福岡県太宰府市五条3-11-25,
2026/02/06,福岡県,高等学校,有明工業高専,,,福岡県大牟田市東萩尾町150,
2026/02/06,福岡県,高等学校,飯塚,,,福岡県飯塚市立岩1224,
2026/02/06,福岡県,大学,福岡大学,一般選抜（系統別・前期）医2次含む,本学（七隈キャンパス）,福岡県福岡市城南区七隈8-19-1,
2026/02/06,福岡県,大学,中村学園大学,A方式・B方式・後期・短大一般,本学（福岡）,福岡県福岡市城南区別府5-7-1,
2026/02/06,福岡県,大学,西南学院大学,一般選抜A日程・F日程,本学試験場（西南学院大学）,福岡県福岡市早良区西新6-2-92,
2026/02/06,福岡県,大学,関西大学,,TKPエルガーラホール,福岡県福岡市中央区天神1丁目4-2,
2026/02/06,福岡県,大学,日本獣医生命科学大学,一般選抜B/C日程,福岡ガーデンパレス,福岡県福岡市中央区天神4-8-15,
2026/02/06,福岡県,大学,東京理科大学,一般選抜B・S方式,福岡試験場（北九州予備校博多駅校）,福岡県福岡市博多区博多駅前1-21-4,
2026/02/06,福岡県,大学,中京大学,一般前期A/M・後期F／総合型・推薦,リファレンス大博多ビル,福岡県福岡市博多区博多駅前2-20-1 大博多ビル11階,
2026/02/06,福岡県,大学,鎮西学院大学,推薦（指定校等）・一般A,福岡会場,福岡県福岡市博多区博多駅前2-20-1大博多ビル11F,
2026/02/06,福岡県,大学,工学院大学,A日程サテライト(2/5-6),リファレンス大博多ビル,福岡県福岡市博多区博多駅前2丁目20-1 大博多ビル11F,
2026/02/06,福岡県,大学,追手門学院大学,一般 前期日程,リファレンス大博多ビル,福岡県福岡市博多区博多駅前2丁目20-1 大博多ビル11F,
2026/02/06,福岡県,大学,追手門学院大学,一般前期のみ,リファレンス大博多ビル,福岡県福岡市博多区博多駅前2丁目20-1 大博多ビル11F,
2026/02/06,福岡県,大学,日本文理大学,推薦2期ほか・前期/共テ1期・後期/共テ2期,福岡商工会議所,福岡県福岡市博多区博多駅前2丁目9-28,
2026/02/06,福岡県,大学,関西学院大学,全日程（一般/個別/英数/共通併用）,代々木ゼミナール 福岡校,福岡県福岡市博多区博多駅前4-2-25,
2026/02/06,福岡県,大学,鹿児島国際大学,一般選抜（前期）,代々木ゼミナール（福岡校）,福岡県福岡市博多区博多駅前4-2-25,
2026/02/06,福岡県,大学,追手門学院大学,公募推薦・一般 前期日程,リファレンス駅東ビル,福岡県福岡市博多区博多駅東1丁目16-14 リファレンス駅東ビル7F,
2026/02/06,福岡県,大学,追手門学院大学,公募推薦・一般前期,リファレンス駅東ビル,福岡県福岡市博多区博多駅東1丁目16-14 リファレンス駅東ビル7F,
2026/02/06,福岡県,大学,広島国際大学,一般選抜前期B日程〔特待生選抜〕,福岡会場（ 八重洲博多ビル）,福岡県福岡市博多区博多駅東2-18-30,
