日付,都道府県,学校種,学校名,試験名,試験地,住所,時間
2026/02/01,岡山県,大学,福山大学,一般選抜 前期A/B・後期,第一セントラルビル2号館（岡山）,岡山県岡山市北区本町6-30,
2026/02/01,岡山県,大学,福山平成大学,一般選抜A・B・後期,第一セントラルビル2号館,岡山県岡山市北区本町6-30,
2026/02/01,岡山県,大学,大阪経済法科大学,公募前期・一般前期A/B,ピギー貸会議室,岡山県岡山市北区磨屋町2-5 安田岡山磨屋町ビル,
2026/02/01,岡山県,大学,川崎医療福祉大学,推後A・B/一般前期A・B/一般後期,本学会場（川崎医療福祉大学）,岡山県倉敷市松島288,
2026/02/01,岡山県,大学,川崎医療福祉大学,推後A・一般前期A,津山会場（津山中央病院 医療研修センター）,岡山県津山市川崎1756,
2026/02/01,岡山県,大学,就実大学,一般選抜A・B日程,津山会場（美作教育会館）,岡山県津山市大手町5-3,
2026/02/01,岡山県,大学,美作大学,全入試期（総合型・推薦・一般）,本学会場（津山会場）／美作大学・美作大学短期大学部,岡山県津山市北園町50,
2026/02/01,岡山県,大学,立命館アジア太平洋大学,スタンダード3/英語重視/共テ+英・国,岡山国際ホテル,岡山市中区門田本町4-1-16,
2026/02/01,岡山県,大学,立命館大学,一般選抜（試験地）,岡山国際ホテル,岡山市中区門田本町4-1-16,
2026/02/01,岡山県,大学,花園大学,一般選抜B日程,岡山会場,岡山市北区奉還町2丁目2番1号,
2026/02/01,岡山県,大学,名城大学,一般選抜 地区別会場,ヒカリホールディングス貸会議室,岡山市北区柳町1-4-8,
2026/02/01,沖縄県,大学,三育学院大学,総合型Ⅱ・Ⅳ期、推薦、公募、一般,沖縄会場（アドベンチストメディカルセンター）,沖縄県中頭郡西原町幸地868,
2026/02/01,沖縄県,大学,専修大学,,沖縄県市町村自治会館,沖縄県那覇市旭町116-37,
2026/02/01,沖縄県,大学,四国大学,一般入試Ⅰ期,東横イン那覇旭橋駅前,沖縄県那覇市久米2-1-20,
2026/02/01,沖縄県,大学,長崎外国語大学,一般選抜A/スカラシップ,沖縄県青年会館 1F,沖縄県那覇市久米2-15-23,
2026/02/01,沖縄県,大学,金城大学,一般選抜のみ（2/1）,沖縄会場（沖縄県青年会館）,沖縄県那覇市久米2丁目15-23,
2026/02/01,沖縄県,大学,中村学園大学,一般選抜A方式・短大一般,沖縄会場,沖縄県那覇市久米2丁目15-23,
2026/02/01,沖縄県,大学,就実大学,一般選抜A・B日程,那覇会場（沖縄県青年会館）,沖縄県那覇市久米2丁目15-23,
2026/02/01,沖縄県,大学,美作大学,推薦11・12月・ 一般前期,那覇会場（沖縄トラック研修会館）,沖縄県那覇市港町2-5-23,
2026/02/01,沖縄県,大学,九州産業大学,一般前期（共テ併用含む）,資格の大原 沖縄校,沖縄県那覇市泉崎1-13-3,
2026/02/01,沖縄県,大学,吉備国際大学,一般前期AⅠ/AⅡ/B/C,那覇会場（みんなの貸会議室那覇泉崎店）,沖縄県那覇市泉崎1-13-3 資格の大原沖縄ビル内,
2026/02/01,沖縄県,大学,九州医療科学大学,総I期・総特待・推B・一般前期,みんなの貸会議室 那覇泉崎店,沖縄県那覇市泉崎1-13-3 資格の大原沖縄校ビル内,
2026/02/01,沖縄県,大学,大阪経済法科大学,一般前期A/B・指定校推薦,みんなの貸会議室那覇泉崎店,沖縄県那覇市泉崎1-13-3 資格の大原沖縄校ビル内,
2026/02/01,沖縄県,大学,中京学院大学,一般選抜 前期（併願）,那覇会場,沖縄県那覇市泉崎1丁目13-3,
2026/02/01,沖縄県,大学,中京学院大学,一般前期・推薦（地方）,那覇会場,沖縄県那覇市泉崎1丁目13-3,
2026/02/01,沖縄県,大学,千葉工業大学,A/SA日程サテライト,那覇試験場（沖縄県水産会館）,沖縄県那覇市前島3-25-39,
2026/02/01,沖縄県,大学,九州看護福祉大学,一般選抜 前期A日程,沖縄船員会館,沖縄県那覇市前島3-25-50,
2026/02/01,沖縄県,大学,広島工業大学,一般選抜A日程,那覇会場（沖縄県水産会館）,沖縄県那覇市前島3丁目25-39,
2026/02/01,沖縄県,大学,金沢工業大学,一般試験A,那覇尚学院（別館）,沖縄県那覇市泊2-16-3,
2026/02/01,沖縄県,大学,福山大学,一般選抜 前期A日程（那覇）,那覇尚学院 別館,沖縄県那覇市泊2-17-4,
2026/02/01,沖縄県,大学,福山平成大学,一般選抜 前期A日程（那覇）,沖縄尚学館 別館,沖縄県那覇市泊2-17-4,
2026/02/01,沖縄県,大学,山陽学園大学,一般Ⅰ期・公募制Ⅰ期,プロム那覇古島,沖縄県那覇市銘苅 1-19-1 アクロスプラザ古島駅前 2F,
2026/02/01,沖縄県,大学,芝浦工業大学,一般選抜（前期/全学統一）,沖縄会場（国際電子ビジネス専門学校）,沖縄県那覇市壺川3丁目5-3,
2026/02/01,宮崎県,大学,九州医療科学大学,総I〜III期・スポ特・推A/B・一般前中後,九州医療科学大学（本学）,宮崎県延岡市吉野町1714-1,
2026/02/01,宮崎県,大学,九州産業大学,一般前期（共テ併用含む）,MRT micc,宮崎県宮崎市橘通西4-6-3,
2026/02/01,宮崎県,大学,九州栄養福祉大学,一般選抜（前期）のみ,ホテル メリージュ,宮崎県宮崎市橘通東3-1-11,
2026/02/01,宮崎県,大学,中村学園大学,一般選抜A方式・短大一般,宮崎会場,宮崎県宮崎市錦町1-10,
2026/02/01,宮崎県,大学,九州看護福祉大学,一般選抜 前期A日程,アートホテル宮崎スカイタワー,宮崎県宮崎市高千穂通2-1-26,
2026/02/01,宮崎県,大学,九州医療科学大学,指定校・総特待・推A/B・一般前中後,九州医療科学大学専門学校,宮崎県宮崎市瀬頭2-1-10,
2026/02/01,宮崎県,大学,吉備国際大学,一般前期AⅠ/AⅡ/B/C・中期,宮崎会場（九州医療科学大学専門学校）,宮崎県宮崎市瀬頭2-1-10,
2026/02/01,宮崎県,大学,日本大学,N全学統一方式第1期,宮崎試験場（宮崎日本大学高等学校）,宮崎県宮崎市島之内6822-2,
2026/02/01,宮崎県,大学,南九州大学,健康栄養学部の試験場（一般等）,宮崎キャンパス,宮崎県宮崎市霧島5丁目1-2,
2026/02/01,宮崎県,大学,九州医療科学大学,一般選抜前期,都城ロイヤルホテル,宮崎県都城市北原町1106-48,
2026/02/01,宮崎県,大学,吉備国際大学,一般前期AⅠ/AⅡ/B/C,都城会場（都城ロイヤルホテル）,宮崎県都城市北原町1106-48,
2026/02/01,宮崎県,大学,南九州大学,環境園芸・子ども教育の試験場,都城キャンパス,宮崎県都城市立野町3764-1,
2026/02/01,宮崎県,大学,久留米大学,前期一般選抜,宮崎会場,宮崎市旭1-3-10,
2026/02/01,京都府,大学,立命館アジア太平洋大学,スタンダード3/英語重視/共テ+英・国/後期,立命館大学（衣笠キャンパス）,京都市北区等持院北町56-1,
