日付,都道府県,学校種,学校名,試験名,試験地,住所,時間
2026/01/26,愛媛県,大学,松山大学,一般選抜Ⅰ期日程,宇和島,愛媛県宇和島市栄町港3-303 JAえひめ南,9:30-12:30
2026/01/26,愛媛県,大学,松山大学,一般選抜Ⅰ期日程,松山,愛媛県松山市文京町4-2 松山大学,9:30-12:30
2026/01/26,愛媛県,大学,松山大学,一般選抜Ⅰ期日程,新居浜,愛媛県新居浜市一宮町二丁目4-8 新居浜商工会館,9:30-12:30
2026/01/26,岡山県,大学,神戸親和大学,前期,岡山,岡山県岡山市北区伊福町 2-10 -27,9:30〜14：15
2026/01/26,岡山県,大学,松山大学,一般選抜Ⅰ期日程,岡山,岡山県岡山市北区伊福町2-10-27 岡山進研学院,9:30-12:30
2026/01/26,岡山県,大学,関西医療大学,一般前期A,岡山,岡山県岡山市北区桑田町3-31,9：30〜13：10
2026/01/26,岡山県,大学,追手門学院大学,一般入試前期日程,岡山,岡山県岡山市北区磨屋町2-5 安田岡山磨屋町ビル3階,10:00-15:00
2026/01/26,沖縄県,大学,松山大学,一般選抜Ⅰ期日程,那覇,沖縄県那覇市泊2-17-4,9:30-12:30
2026/01/26,京都府,大学,京都文教大学,一般A日程,京都,京都府宇治市槇島町千足80,
2026/01/26,京都府,大学,追手門学院大学,一般入試前期日程,京都,京都府京都市下京区立売中之町99 四条SETビル6階,10:00-15:00
2026/01/26,広島県,大学,関西医療大学,一般前期A,広島,広島県広島市中区橋本町5-11,9：30〜13：10
2026/01/26,広島県,大学,追手門学院大学,一般入試前期日程,広島,広島県広島市中区小町3-19 リファレンス広島小町ビル,10:00-15:00
2026/01/26,広島県,大学,松山大学,一般選抜Ⅰ期日程,広島,広島県広島市中区立町2-25 IG石田学園ビル,9:30-12:30
2026/01/26,広島県,大学,松山大学,一般選抜Ⅰ期日程,福山,広島県福山市紅葉町1-1 福山ちゅうぎんビル,9:30-12:30
2026/01/26,広島県,大学,関西外国語大学,一般前期,広島,広島市中区八丁堀7-11,
2026/01/26,香川県,大学,神戸親和大学,前期,高松,香川県高松市番町2-2-2,9:30〜14：15
2026/01/26,香川県,大学,松山大学,一般選抜Ⅰ期日程,高松,香川県高松市番町2-2-2 高松商工会議所,9:30-12:30
2026/01/26,香川県,大学,追手門学院大学,一般入試前期日程,高松,香川県高松市番町二丁目2番2号,10:00-15:00
2026/01/26,高知県,大学,松山大学,一般選抜Ⅰ期日程,高知,高知県高知市はりまや町3-7-8 土佐塾予備校,9:30-12:30
2026/01/26,山口県,大学,松山大学,一般選抜Ⅰ期日程,山口,山口県山口市小郡令和1-1-1 KDDI維新ホール,9:30-12:30
2026/01/26,山口県,大学,福岡国際医療福祉大学,一般選抜前期A日程,山口,山口県山口市小郡令和1-1-1 KDDI維新ホール,9:00-12:00
2026/01/26,滋賀県,大学,追手門学院大学,一般入試前期日程,滋賀,滋賀県草津市大路2-1-35 キラリエ草津（市民総合交流センター）,10:00-15:00
2026/01/26,鹿児島県,大学,福岡国際医療福祉大学,一般選抜前期A日程,鹿児島,鹿児島市山之口町2-7 ホテルマイステイズ鹿児島天文館,
2026/01/26,鹿児島県,大学,松山大学,一般選抜Ⅰ期日程,鹿児島,鹿児島市中央町8-1 鹿児島県医師会館,9:30-12:30
2026/01/26,大阪府,大学,追手門学院大学,一般入試前期日程,茨木総持寺キャンパス,大阪府茨木市太田東芝町1-1,10:00-15:00
2026/01/26,大阪府,大学,追手門学院大学,一般入試前期日程,難波,大阪府大阪市中央区南船場4丁目3-2 ゼント心斎橋ビル3階,10:00-15:00
2026/01/26,大阪府,大学,神戸親和大学,前期,大阪,大阪府大阪市北区芝田2-7-18 オーエックス梅田ビル新館5階,9:30〜14：15
2026/01/26,大阪府,大学,松山大学,一般選抜Ⅰ期日程,大阪,大阪府大阪市北区豊崎3-12-10 ハートンホテル北梅田,9:30-12:30
2026/01/26,大阪府,大学,追手門学院大学,一般入試前期日程,難波,大阪府大阪市浪速区敷津東2丁目1-41 南海なんば第1ビル2階,10:00-15:00
2026/01/26,大阪府,大学,追手門学院大学,一般入試前期日程,枚方,大阪府枚方市岡本町7番1号 枚方ビオルネ5F,10:00-15:00
2026/01/26,大分県,大学,松山大学,一般選抜Ⅰ期日程,大分,大分県大分市中央町4-2-5 大分県労働福祉会館,9:30-12:30
2026/01/26,大分県,大学,福岡国際医療福祉大学,一般選抜前期A日程,大分,大分県大分市中央町4丁目2-5 ソレイユ,9:00-12:00
2026/01/26,長崎県,大学,福岡国際医療福祉大学,一般選抜前期A日程,長崎,長崎県長崎市桜町9-6 長崎県勤労福祉会館,9:00-12:00
2026/01/26,島根県,大学,松山大学,一般選抜Ⅰ期日程,松江,島根県松江市朝日町478-18 松江テルサ,9:30-12:30
2026/01/26,徳島県,大学,松山大学,一般選抜Ⅰ期日程,徳島,徳島県徳島市藍場町2丁目14 あわぎんホール,9:30-12:30
2026/01/26,奈良県,大学,追手門学院大学,一般入試前期日程,奈良,奈良県奈良市三条大路一丁目691-1,10:00-15:00
2026/01/26,奈良県,大学,追手門学院大学,一般入試前期日程,奈良,奈良県奈良市法蓮町757-2,10:00-15:00
2026/01/26,福岡県,大学,福岡国際医療福祉大学,一般選抜前期A日程,福岡（本学）,福岡県福岡市早良区百道浜3丁目6-40,9:00-12:00
2026/01/26,福岡県,大学,松山大学,一般選抜Ⅰ期日程,福岡,福岡県福岡市博多区博多駅中央街4-8 ユーコウビル,9:30-12:30
2026/01/26,福岡県,大学,追手門学院大学,一般入試前期日程,福岡,福岡県福岡市博多区博多駅東1丁目16-14 リファレンス駅東ビル7F,10:00-15:00
2026/01/26,福岡県,大学,関西外国語大学,一般前期,福岡,福岡県福岡市博多区博多駅南1丁目8-31,
2026/01/26,福岡県,大学,追手門学院大学,一般入試前期日程,福岡,福岡市博多区博多駅前2丁目20-1 大博多ビル11F,10:00-15:00
2026/01/26,兵庫県,大学,追手門学院大学,一般入試前期日程,神戸,兵庫県神戸市中央区中町通2丁目3-1,10:00-15:00
2026/01/26,兵庫県,大学,追手門学院大学,一般入試前期日程,神戸,兵庫県神戸市中央区八幡通4-2-12 カサベラFRⅡビル,10:00-15:00
2026/01/26,兵庫県,大学,神戸親和大学,前期,姫路,兵庫県姫路市東延末 1-108,9:30〜14：15
2026/01/26,兵庫県,大学,神戸親和大学,前期,豊岡,兵庫県豊岡市大磯町 1-79,9:30〜14：15
2026/01/26,兵庫県,大学,追手門学院大学,一般入試前期日程,明石,兵庫県明石市大明石町1-2-1,10:00-15:00
2026/01/26,和歌山県,大学,追手門学院大学,一般入試前期日程,和歌山,和歌山県和歌山市太田2-13-12,10:00-15:00
2026/01/26,和歌山県,大学,追手門学院大学,一般入試前期日程,和歌山,和歌山市小松原通り一丁目1番地 和歌山県庁正門前,10:00-15:00
2026/01/26,大阪府,中学校,大阪教育大学附属平野中学校,二次,本校,大阪府大阪市平野区流町2-1-24,
2026/01/26,愛媛県,大学,同志社女子大学,前期,松山,松山市三番町5-13-1,
2026/01/26,岡山県,大学,同志社女子大学,前期,岡山,岡山市北区伊福町2-10-27,
2026/01/26,広島県,大学,同志社女子大学,前期,広島,広島市南区金屋町1-17 ,
2026/01/26,香川県,大学,同志社女子大学,前期,高松,高松市寿町2-4-20,
2026/01/26,大阪府,大学,同志社女子大学,前期,大阪,大阪市中央区本町橋2-8,
2026/01/26,大阪府,大学,同志社女子大学,前期,大阪,大阪市福島区福島6-22-20,
2026/01/26,福岡県,大学,同志社女子大学,前期,福岡,福岡市中央区天神1-4-2,
2026/01/26,兵庫県,大学,同志社女子大学,前期,神戸,神戸市東灘区向洋町中6-9,
2026/01/26,和歌山県,大学,同志社女子大学,前期,和歌山,和歌山市吹上2-1-22,
