日付,都道府県,学校種,学校名,試験名,試験地,住所,時間
2026/02/01,東京都,中学校,小石川中等教育学校,特別,本校,東京都文京区本駒込2-29-29,
2026/02/01,東京都,中学校,白鴎高校附属,特別,本校,東京都台東区元浅草3-12-12,
2026/02/01,東京都,中学校,愛国,１回,本校,東京都江戸川区西小岩5-7-1,
2026/02/01,東京都,中学校,麻布,一般,本校,東京都港区元麻布2-3-29,
2026/02/01,東京都,中学校,足立学園,志入試,本校,東京都足立区千住旭町40-24,
2026/02/01,東京都,中学校,足立学園,１回,本校,東京都足立区千住旭町40-24,
2026/02/01,東京都,中学校,足立学園,特奨①,本校,東京都足立区千住旭町40-24,PM
2026/02/01,東京都,中学校,跡見学園,一般①,本校,東京都文京区大塚1-5-9,AM
2026/02/01,東京都,中学校,跡見学園,特待①,本校,東京都文京区大塚1-5-9,PM
2026/02/01,東京都,中学校,郁文館,iP class選抜①,本校,東京都文京区向丘2-19-1,PM
2026/02/01,東京都,中学校,郁文館,２科選抜①,本校,東京都文京区向丘2-19-1,AM
2026/02/01,東京都,中学校,郁文館,ｸﾞﾛｰﾊﾞﾙ特待①,本校,東京都文京区向丘2-19-1,AM
2026/02/01,東京都,中学校,郁文館,適性検査型,本校,東京都文京区向丘2-19-1,AM
2026/02/01,東京都,中学校,上野学園,１日午前,本校,東京都台東区東上野4-24-12,AM
2026/02/01,東京都,中学校,上野学園,１日午前(適性型),本校,東京都台東区東上野4-24-12,AM
2026/02/01,東京都,中学校,上野学園,１日午後,本校,東京都台東区東上野4-24-12,PM
2026/02/01,東京都,中学校,上野学園,１回,本校,東京都台東区東上野4-24-12,AM
2026/02/01,東京都,中学校,上野学園,２回,本校,東京都台東区東上野4-24-12,PM
2026/02/01,東京都,中学校,穎明館,１回(一般･ｸﾞﾛｰﾊﾞﾙ),本校,東京都八王子市館町2600,AM
2026/02/01,東京都,中学校,穎明館,２回(総合),本校,東京都八王子市館町2600,PM
2026/02/01,東京都,中学校,英明フロンティア (2026～女子→共学),１回,本校,東京都練馬区関町北4丁目16-11,AM
2026/02/01,東京都,中学校,英明フロンティア (2026～女子→共学),２回,本校,東京都練馬区関町北4丁目16-11,PM
2026/02/01,東京都,中学校,江戸川女子,一般4科①,本校,東京都江戸川区東小岩5-22-1,AM
2026/02/01,東京都,中学校,江戸川女子,一般基礎学力①･適性,本校,東京都江戸川区東小岩5-22-1,PM
2026/02/01,東京都,中学校,桜蔭,一般,本校,東京都文京区本郷1-5-25,
2026/02/01,東京都,中学校,桜美林,１回ＡＭ,本校,東京都町田市常盤町3758,AM
2026/02/01,東京都,中学校,桜美林,１回ＰＭ,本校,東京都町田市常盤町3758,PM
2026/02/01,東京都,中学校,桜美林,総合,本校,東京都町田市常盤町3758,AM
2026/02/01,東京都,中学校,鴎友学園女子,１回,本校,東京都世田谷区宮坂1-5-30,
2026/02/01,東京都,中学校,大妻,１回,本校,東京都千代田区三番町12,
2026/02/01,東京都,中学校,大妻多摩,第１回,本校,東京都多摩市唐木田2-7-1,AM
2026/02/01,東京都,中学校,大妻多摩,適性型思考力,本校,東京都多摩市唐木田2-7-1,AM
2026/02/01,東京都,中学校,大妻多摩,第２回(午後),本校,東京都多摩市唐木田2-7-1,PM
2026/02/01,東京都,中学校,大妻中野,１回,本校,東京都中野区上高田2-3-7,AM
2026/02/01,東京都,中学校,大妻中野,２回,本校,東京都中野区上高田2-3-7,PM
2026/02/01,東京都,中学校,大妻中野,１回,本校,東京都中野区上高田2-3-7,
2026/02/01,東京都,中学校,海城,一般１回,本校,東京都新宿区大久保3-6-1,
2026/02/01,東京都,中学校,開成,一般,本校,東京都荒川区西日暮里4丁目2-4,
2026/02/01,東京都,中学校,開智日本橋学園,１回,本校,東京都中央区日本橋馬喰町2-7-6,AM
2026/02/01,東京都,中学校,開智日本橋学園,特待,本校,東京都中央区日本橋馬喰町2-7-6,PM
2026/02/01,東京都,中学校,かえつ有明,1日AM,本校,東京都江東区東雲2-16-1,AM
2026/02/01,東京都,中学校,かえつ有明,1日PM(特待),本校,東京都江東区東雲2-16-1,PM
2026/02/01,東京都,中学校,学習院女子,一般Ａ,本校,東京都新宿区戸山3丁目20-1,
2026/02/01,東京都,中学校,川村,ﾌﾟﾚﾐｱﾑ,本校,東京都豊島区目白2-22-3,AM
2026/02/01,東京都,中学校,川村,ｾﾚｸﾄ①,本校,東京都豊島区目白2-22-3,PM
