日付,都道府県,学校種,学校名,試験名,試験地,住所,時間,,,,,,,,,,,,,,,,,,
2026/02/06,岐阜県,大学,愛知大学,一般選抜（前期・各方式）,岐阜商工会議所,岐阜県岐阜市神田町2丁目2番地,
2026/02/06,岐阜県,大学,朝日大学,本学試験場。全学部の各日程,朝日大学（本学試験場）,岐阜県瑞穂市穂積1851,
2026/02/06,岐阜県,大学,愛知淑徳大学,一般選抜（前期）,岐阜会場,岐阜市金町5-7-2,
2026/02/06,岐阜県,大学,中京大学,一般前期A/M・後期F／総合型・推薦,名古屋大原学園 岐阜校,岐阜市西問屋町11,
2026/02/06,宮城県,大学,仙台大学,自己推薦・総合型・一般前期/後期,本学会場（仙台大学 本学キャンパス）,宮城県柴田郡柴田町船岡南2丁目2-18,
2026/02/06,宮城県,大学,東京理科大学,一般選抜B・S方式,仙台試験場（駿台予備学校仙台校）,宮城県仙台市宮城野区榴岡1-5-11,
2026/02/06,宮城県,大学,岩手医科大学,歯学部一般選抜前期,仙台会場（仙台ガーデンパレス）,宮城県仙台市宮城野区榴岡4-1-5,
2026/02/06,宮城県,大学,岩手医科大学,看護学部一般選抜前期,仙台会場（仙台ガーデンパレス）,宮城県仙台市宮城野区榴岡4-1-5,
2026/02/06,宮城県,大学,富士大学,一般選抜 I期/II期/III期,仙台会場,宮城県仙台市青葉区花京院1-2-12,
2026/02/06,宮城県,大学,白鴎大学,学業特待・一般選抜,TKPガーデンシティPREMIUM仙台西口,宮城県仙台市青葉区花京院1-2-15 ソララプラザ 4～8階,
2026/02/06,宮城県,大学,関西大学,,東北福祉大学,宮城県仙台市青葉区国見1丁目8-1,
2026/02/06,宮城県,大学,工学院大学,A/B日程サテライト(2/5-6),ハーネル仙台,宮城県仙台市青葉区本町2丁目12-7,
2026/02/06,宮城県,大学,尚絅学院大学,一般選抜 前期・後期,尚絅学院大学,宮城県名取市ゆりが丘4-10-1,
2026/02/06,石川県,大学,同志社大学,一般選抜入学試験,北國新聞会館,金沢市南町2-1,
2026/02/06,群馬県,大学,工学院大学,S/A/B日程サテライト,小野池學院,群馬県高崎市栄町15-3,
2026/02/06,群馬県,大学,白鴎大学,一般選抜,高崎ワシントンホテルプラザ,群馬県高崎市八島町70,
2026/02/06,埼玉県,高等学校,浦和麗明,,本校,埼玉県さいたま市浦和区東岸町10-36,
2026/02/06,埼玉県,大学,工学院大学,A日程サテライト(2/5-6),駿台予備校 大宮校,埼玉県さいたま市大宮区桜木町1-235-3,
2026/02/06,埼玉県,大学,白鴎大学,一般選抜,駿台予備学校 大宮校,埼玉県さいたま市大宮区桜木町1-235-3,
2026/02/06,埼玉県,高等学校,慶應義塾志木,,本校,埼玉県志木市本町4-14-1,
2026/02/06,埼玉県,中学校,埼玉平成,,本校,埼玉県入間郡毛呂山町下川原375,
2026/02/06,埼玉県,中学校,狭山ヶ丘高校付属,,本校,埼玉県入間市下藤沢981,
2026/02/06,北海道,大学,同志社大学,一般選抜入学試験,札幌駅前ビジネススペース,札幌市中央区北5条西6丁目1-23 第二北海道通信ビル2階,
2026/02/06,三重県,大学,愛知大学,一般選抜（前期・各方式）,秀英予備校四日市校,三重県四日市市鵜の森1丁目4番1号,
2026/02/06,三重県,大学,関西大学,,ホテルグリーンパーク津,三重県津市羽所町700,
2026/02/06,三重県,大学,愛知大学,一般選抜（前期・各方式）,三重県教育文化会館,三重県津市桜橋2-142,
2026/02/06,山形県,大学,尚絅学院大学,一般選抜 前期（地方会場）,山交ビル,山形県山形市香澄町3-2-1,
2026/02/06,山形県,大学,仙台大学,一般選抜前期A方式,山形会場（山形国際ホテル）,山形県山形市香澄町三丁目4番5号,
2026/02/06,山形県,大学,東北公益文科大学,一般選抜（前期）個別学力検査型,山形会場（山形県生涯学習センター 遊学館）,山形県山形市緑町1丁目2-36,
2026/02/06,山形県,大学,東北公益文科大学,総合型・推薦・社会人・一般前期,酒田キャンパス,山形県酒田市飯森山三丁目5番地の1,
2026/02/06,山梨県,大学,工学院大学,A日程サテライト(2/5-6),秀英予備校 山梨校,山梨県甲府市丸の内2丁目15番12,
2026/02/06,山梨県,大学,山梨学院大学,一般選抜（個別）前期・後期、ILA本学,本学会場（山梨学院大学）,山梨県甲府市酒折2-4-5,
2026/02/06,三重県,大学,愛知淑徳大学,一般選抜（前期）,四日市会場（都ホテル）,四日市市安島1-3-38,
2026/02/06,三重県,大学,中京大学,一般前期A/M・後期F／総合型・推薦,四日市商工会議所,四日市市諏訪町2-5,
2026/02/06,秋田県,大学,岩手医科大学,看護学部一般選抜前期,秋田会場（anaクラウンプラザホテル秋田）,秋田県秋田市中通2丁目6-1,
2026/02/06,秋田県,大学,尚絅学院大学,一般選抜 前期（地方会場）,秋田予備校,秋田県秋田市中通4-3-32,
2026/02/06,秋田県,大学,仙台大学,一般選抜前期A方式,秋田会場（ホテルメトロポリタン秋田）,秋田市中通7丁目2番1号,
2026/02/06,長野県,大学,中京大学,一般前期A/M・後期F／総合型・推薦,ホテルモンターニュ松本,松本市巾上3-2,
2026/02/06,新潟県,大学,仙台大学,一般選抜前期A方式,新潟会場（アートホテル新潟駅前）,新潟県新潟市中央区笹口1-1,
2026/02/06,新潟県,大学,関西大学,,新潟医療福祉カレッジ,新潟県新潟市中央区笹口2丁目9-41,
2026/02/06,新潟県,大学,工学院大学,A日程サテライト(2/5-6),代々木ゼミナール 新潟校,新潟県新潟市中央区弁天1-4-18,
2026/02/06,神奈川県,大学,明治学院大学,一般選抜：全学部日程・A日程,横浜キャンパス,神奈川県横浜市戸塚区上倉田町1518,
2026/02/06,神奈川県,大学,神奈川大学,給費生・一般前期/後期,横浜キャンパス,神奈川県横浜市神奈川区六角橋3-27-1,
2026/02/06,神奈川県,大学,工学院大学,S/A日程サテライト,ビジョンセンター横浜（プレミア横浜西口ビル3F）,神奈川県横浜市西区北幸2-5-15 プレミア横浜西口ビル3F,
2026/02/06,神奈川県,大学,相模女子大学,一般選抜A・B・C日程,本学キャンパス,神奈川県相模原市南区文京2-1-1,
2026/02/06,神奈川県,大学,多摩大学,一般選抜Ⅰ〜Ⅲ期／総合問題,湘南キャンパス,神奈川県藤沢市円行802,
