日付,都道府県,学校種,学校名,試験名,試験地,住所,時間
2026/02/07,東京都,中学校,共栄学園,５回,本校,東京都葛飾区お花茶屋2-6-1,
2026/02/07,東京都,中学校,城西大学附属城西,４回,本校,東京都豊島区千早1-10-26,
2026/02/07,東京都,中学校,駿台学園,５回,本校,東京都北区王子6-1-10,
2026/02/07,東京都,中学校,帝京,４回,本校,東京都板橋区稲荷台27-1,
2026/02/07,東京都,中学校,帝京八王子,４回,本校,東京都八王子市上川町3766,
2026/02/07,東京都,中学校,立正大学付属立正,４回,本校,東京都大田区西馬込1-5-1,
2026/02/07,千葉県,中学校,和洋国府台女子,一般Ｃ,本校,千葉県市川市国府台2-3-1,
2026/02/07,岐阜県,高等学校,麗澤瑞浪,,本校,岐阜県瑞浪市稲津町萩原1661,
2026/02/07,岐阜県,高等学校,中京,,本校,岐阜県瑞浪市土岐町7074-1,
2026/02/07,埼玉県,高等学校,国際学院,,本校,埼玉県北足立郡伊奈町小室10474,
2026/02/07,岩手県,高等学校,盛岡大学附属,,本校,岩手県盛岡市厨川5-4-1,
2026/02/07,秋田県,高等学校,秋田令和,一期(専願･併願),本校,秋田県秋田市千秋矢留町4-17,
2026/02/07,秋田県,高等学校,国学館,一般(専願･併願),本校,秋田県秋田市千秋明徳町3-31,
2026/02/07,秋田県,高等学校,聖霊学園,一般(専願),本校,秋田県秋田市南通みその町4-82,
2026/02/07,富山県,高等学校,片山学園,,本校,富山県富山市東黒牧10,
2026/02/07,石川県,高等学校,金沢大学附属,,本校,石川県金沢市平和町1-1-15,
2026/02/07,山梨県,中学校,富士学苑,,本校,山梨県富士吉田市下吉田 3-28-19,
2026/02/07,岐阜県,中学校,聖マリア女学院,,本校,岐阜県岐阜市福富201番地,
2026/02/07,岐阜県,中学校,多治見西,,本校,岐阜県多治見市明和町1丁目18番地,
2026/02/07,岐阜県,中学校,帝京大学可児,,本校,岐阜県可児市桂ケ丘1-1,
2026/02/07,愛知県,中学校,桜丘,,本校,愛知県豊橋市南牛川2-1-11,
2026/02/07,群馬県,中学校,樹徳,,本校,群馬県桐生市稲荷町4-12,
2026/02/07,埼玉県,中学校,自由の森学園,,本校,埼玉県飯能市小岩井613,
2026/02/07,埼玉県,中学校,秀明,,本校,埼玉県川越市笠幡4792番地,
2026/02/07,埼玉県,中学校,西武台新座,,本校,埼玉県新座市中野2-9-1,
2026/02/07,埼玉県,中学校,本庄第一,,本校,埼玉県本庄市仁手2167-1,
2026/02/07,千葉県,中学校,志学館,,,千葉県木更津市真舟3-29-1,
2026/02/07,埼玉県,大学,立命館大学,一般選抜（試験地）,ソニックシティ,さいたま市大宮区桜木町1-7-5 ソニックシティビル棟7F 〜9F,
2026/02/07,埼玉県,大学,立命館アジア太平洋大学,スタンダード3/英語重視/後期,ソニックシティ,さいたま市大宮区桜木町1-7-5 ソニックシティビル棟7F〜9F,
2026/02/07,埼玉県,大学,東京工科大学,一般選抜A日程,さいたま会場 (TKP 大宮駅西口カンファレンスセンター),さいたま市大宮区桜木町1-8-1ベルヴュオフィス大宮,
2026/02/07,埼玉県,大学,立命館アジア太平洋大学,英語重視/共テ+英・国,TKPガーデンシティPREMIUM 大宮,さいたま市大宮区桜木町4-333-13 大同生命さいたま大宮ビル2F,
2026/02/07,埼玉県,大学,立命館大学,一般選抜（試験地）,TKP ガーデンシティ PREMIUM 大宮,さいたま市大宮区桜木町4-333-13 大同生命さいたま大宮ビル2F,
2026/02/07,愛知県,大学,至学館大学,一般前期/共通テストプラス/一般後期,本学（至学館大学）,愛知県大府市横根町名高山55,
2026/02/07,愛知県,国家試験,愛知学院大学 日進キャンパス,医師,,愛知県日進市岩崎町阿良池12,
2026/02/07,愛知県,大学,名古屋学芸大学,一般選抜前期・後期,日進キャンパス,愛知県日進市岩崎町竹ノ山57,
2026/02/07,愛知県,大学,名古屋芸術大学,一般選抜1期・2期・総合型3期・推薦,名古屋芸術大学 東キャンパス,愛知県北名古屋市熊之庄古井281番地,
