日付,都道府県,学校種,学校名,試験名,試験地,住所,時間
2026/02/04,東京都,中学校,足立学園,４回,本校,東京都足立区千住旭町40-24,
2026/02/04,東京都,中学校,足立学園,特奨④,本校,東京都足立区千住旭町40-24,PM
2026/02/04,東京都,中学校,跡見学園,特待③,本校,東京都文京区大塚1-5-9,
2026/02/04,東京都,中学校,郁文館,適性検査型,本校,東京都文京区向丘２－１９－１,
2026/02/04,東京都,中学校,郁文館,２科･４科選抜②,本校,東京都文京区向丘２－１９－１,
2026/02/04,東京都,中学校,上野学園,４日,本校,東京都台東区東上野４－２４－１２,
2026/02/04,東京都,中学校,上野学園,４回,本校,東京都台東区東上野４－２４－１２,
2026/02/04,東京都,中学校,穎明館,５回(総合),本校,東京都八王子市館町２６００,
2026/02/04,東京都,中学校,英明フロンティア (2026～女子→共学),５回,本校,東京都練馬区関町北４丁目１６−１１,
2026/02/04,東京都,中学校,大妻多摩,第４回,本校,東京都多摩市唐木田２－７－１,
2026/02/04,東京都,中学校,大妻中野,５回,本校,東京都中野区上高田２－３－７,
2026/02/04,東京都,中学校,大妻中野,３回,本校,東京都中野区上高田２－３－７,
2026/02/04,東京都,中学校,開智日本橋学園,４回,本校,東京都中央区日本橋馬喰町２－７－６,
2026/02/04,東京都,中学校,川村,ｾﾚｸﾄ④,本校,東京都豊島区目白２－２２－３,AM
2026/02/04,東京都,中学校,川村,ｾﾚｸﾄ⑤,本校,東京都豊島区目白２－２２－３,PM
2026/02/04,東京都,中学校,神田女学園,５回,本校,東京都千代田区神田猿楽町２－３－６,PM
2026/02/04,東京都,中学校,北里大学附属順天 (2026～順天から校名変更),３回(多面的),本校,東京都北区王子本町１－１７－１３,
2026/02/04,東京都,中学校,北里大学附属順天 (2026～順天から校名変更),帰国生２回,本校,東京都北区王子本町１－１７－１３,
2026/02/04,東京都,中学校,京華女子,④(2科･4科),本校,東京都文京区白山５－６－６,
2026/02/04,東京都,中学校,啓明学園,③,本校,東京都昭島市拝島町５－１１－１５,
2026/02/04,東京都,中学校,小石川淑徳学園,２回一般,本校,東京都文京区小石川３－１４－３,
2026/02/04,東京都,中学校,光塩女子学院,３回(４科型),本校,東京都杉並区高円寺南２－３３－２８,
2026/02/04,東京都,中学校,佼成学園女子,④ＡＭ(一般),本校,東京都世田谷区給田２－１－１,AM
2026/02/04,東京都,中学校,佼成学園女子,④ＰＭ(特待･適性),本校,東京都世田谷区給田２－１－１,PM
2026/02/04,東京都,中学校,国士舘,４回(ﾌﾟﾚｾﾞﾝ),本校,東京都世田谷区若林４－３２－１,AM
2026/02/04,東京都,中学校,国士舘,５回,本校,東京都世田谷区若林４－３２－１,PM
2026/02/04,東京都,中学校,駒込,５回,本校,東京都文京区千駄木５－６－２５,
2026/02/04,東京都,中学校,桜丘,５回(2･4科),本校,東京都北区滝野川１－５１－１２,
2026/02/04,東京都,中学校,実践女子学園,⑥ＰＭ,本校,東京都渋谷区東１－１－１１,PM
2026/02/04,東京都,中学校,品川翔英,６回,本校,東京都品川区西大井１－６－１３,PM
2026/02/04,東京都,中学校,品川女子学院,表現力･総合型,本校,東京都品川区北品川３－３－１２,
2026/02/04,東京都,中学校,芝,２回,本校,東京都港区芝公園３－５－３７,
2026/02/04,東京都,中学校,修徳,６回,本校,東京都葛飾区青戸８－１０－１,PM
2026/02/04,東京都,中学校,淑徳巣鴨,３回,本校,東京都豊島区西巣鴨２－２２－１６,
2026/02/04,東京都,中学校,順天堂大学系属理数インター,2科･4科②,本校,東京都中野区中央２－２８－３,AM
2026/02/04,東京都,中学校,順天堂大学系属理数インター,適性③,本校,東京都中野区中央２－２８－３,AM
2026/02/04,東京都,中学校,順天堂大学系属理数インター,２回,本校,東京都中野区中央２－２８－３,PM
2026/02/04,東京都,中学校,城北,３回,本校,東京都板橋区東新町２－２８－１,
2026/02/04,東京都,中学校,昭和女子大附属昭和,Ｃ,本校,東京都世田谷区太子堂１－７－５７,PM
2026/02/04,東京都,中学校,昭和女子大附属昭和,ＳＣ,本校,東京都世田谷区太子堂１－７－５７,PM
2026/02/04,東京都,中学校,女子聖学院,６回,本校,東京都北区中里３－１２－２,PM
2026/02/04,東京都,中学校,白梅学園清修,３回ＡＭ,本校,東京都小平市小川町１－８３０,AM
2026/02/04,東京都,中学校,白梅学園清修,３回ＰＭ,本校,東京都小平市小川町１－８３０,PM
2026/02/04,東京都,中学校,巣鴨,Ⅲ期,本校,東京都豊島区上池袋１－２１－１,
2026/02/04,東京都,中学校,駿台学園,４回,本校,東京都北区王子６－１－１０,
2026/02/04,東京都,中学校,成蹊,２回(男子),本校,東京都武蔵野市吉祥寺北町３－１０－１３,
2026/02/04,東京都,中学校,成蹊,２回(女子),本校,東京都武蔵野市吉祥寺北町３－１０－１３,
2026/02/04,東京都,中学校,清明学園,一般,本校,東京都大田区南雪谷３－１２－２６,
2026/02/04,東京都,中学校,成立学園,６回,本校,東京都北区東十条６－９－１３,
2026/02/04,東京都,中学校,世田谷学園,３次,本校,東京都世田谷区三宿１－１６－３１,
2026/02/04,東京都,中学校,高輪,Ｃ日程,本校,東京都港区高輪２－１－３２,
2026/02/04,東京都,中学校,玉川聖学院,４回,本校,東京都世田谷区奥沢７－１１－２２,
